AeroVironment PE Ratio Historical Data,AeroVironment PE Ratio Historical Data,AeroVironment PE Ratio Historical Data,AeroVironment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,215.63,,101.23
2024-07-31,178.54,$2.13,83.82
2024-04-30,159.79,$2.22,71.98
2024-01-31,120.64,$-4.31,0.0
2023-10-31,114.66,$-4.84,0.0
2023-07-31,95.26,$-5.77,0.0
2023-04-30,100.69,$-6.95,0.0
2023-01-31,88.97,$-0.35,0.0
2022-10-31,91.5,$-0.32,0.0
2022-07-31,86.64,$0.05,1732.8
2022-04-30,80.32,$-0.18,0.0
2022-01-31,56.92,$-0.03,0.0
2021-10-31,89.11,$-0.02,0.0
2021-07-31,101.1,$-0.03,0.0
2021-04-30,110.37,$0.96,114.97
2021-01-31,114.77,$1.24,92.56
2020-10-31,76.36,$1.19,64.17
2020-07-31,76.55,$1.41,54.29
2020-04-30,60.26,$1.70,35.45
2020-01-31,66.61,$1.22,54.6
2019-10-31,57.98,$1.61,36.01
2019-07-31,54.85,$1.55,35.39
2019-04-30,68.56,$1.98,34.63
2019-01-31,77.66,$2.51,30.94
2018-10-31,89.97,$2.12,42.44
2018-07-31,73.61,$2.16,34.08
2018-04-30,54.5,$0.83,65.66
2018-01-31,51.36,$1.36,37.76
2017-10-31,51.16,$1.31,39.05
2017-07-31,37.79,$0.84,44.99
2017-04-30,28.57,$0.52,54.94
2017-01-31,26.19,$-0.55,0.0
2016-10-31,23.99,$-0.19,0.0
2016-07-31,28.35,$0.18,157.5
2016-04-30,28.88,$0.39,74.05
2016-01-31,25.51,$0.47,54.28
2015-10-31,23.07,$0.30,76.9
2015-07-31,26.06,$-0.02,0.0
2015-04-30,25.6,$0.12,213.33
2015-01-31,25.59,$0.16,159.94
2014-10-31,30.65,$0.55,55.73
2014-07-31,31.49,$0.75,41.99
2014-04-30,33.77,$0.59,57.24
2014-01-31,29.82,$0.20,149.1
2013-10-31,27.11,$-0.12,0.0
2013-07-31,22.61,$0.20,113.05
2013-04-30,19.36,$0.46,42.09
2013-01-31,21.65,$1.30,16.65
2012-10-31,21.99,$1.39,15.82
2012-07-31,23.36,$1.30,17.97
2012-04-30,24.32,$1.37,17.75
2012-01-31,27.87,$1.36,20.49
2011-10-31,33.03,$1.62,20.39
2011-07-31,28.83,$1.33,21.68
2011-04-30,28.65,$1.16,24.7
2011-01-31,28.2,$1.08,26.11
2010-10-31,23.46,$0.86,27.28
2010-07-31,23.91,$0.95,25.17
2010-04-30,26.18,$0.94,27.85
2010-01-31,34.07,$0.50,68.14
2009-10-31,26.66,$0.41,65.02
