Griffon PE Ratio Historical Data,Griffon PE Ratio Historical Data,Griffon PE Ratio Historical Data,Griffon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,68.08,,18.25
2024-06-30,63.71,$3.73,17.08
2024-03-31,73.17,$3.79,19.31
2023-12-31,60.68,$1.34,45.28
2023-09-30,39.37,$1.40,28.12
2023-06-30,39.87,$-7.39,0.0
2023-03-31,29.58,$-5.69,0.0
2022-12-31,32.98,$-3.29,0.0
2022-09-30,27.12,$-3.81,0.0
2022-06-30,23.85,$4.49,5.31
2022-03-31,17.0,$2.20,7.73
2021-12-31,24.07,$1.29,18.66
2021-09-30,20.72,$1.48,14.0
2021-06-30,21.51,$1.59,13.53
2021-03-31,22.74,$1.78,12.77
2020-12-31,17.0,$1.48,11.48
2020-09-30,16.23,$1.17,13.88
2020-06-30,15.34,$1.13,13.57
2020-03-31,10.43,$0.94,11.09
2019-12-31,16.7,$0.89,18.76
2019-09-30,17.16,$0.86,19.96
2019-06-30,13.79,$0.45,30.65
2019-03-31,14.99,$0.28,53.55
2018-12-31,8.44,$2.42,3.49
2018-09-30,12.98,$2.93,4.43
2018-06-30,14.25,$2.68,5.32
2018-03-31,14.56,$2.76,5.28
2017-12-31,15.33,$0.77,19.92
2017-09-30,16.68,$0.23,72.52
2017-06-30,16.44,$0.70,23.48
2017-03-31,18.41,$0.62,29.69
2016-09-30,12.64,$0.69,18.32
2016-06-30,12.49,$0.75,16.66
2016-03-31,11.41,$0.86,13.27
2015-12-31,13.11,$0.95,13.8
2015-09-30,11.58,$0.87,13.31
2016-12-31,19.52,$0.79,24.71
2015-06-30,11.66,$0.66,17.67
2015-03-31,12.74,$0.72,17.69
2014-12-31,9.7,$0.08,121.2
2014-09-30,8.28,$-0.02,0.0
2014-06-30,8.99,$-0.17,0.0
2014-03-31,8.63,$-0.40,0.0
2013-12-31,9.53,$0.11,86.6
2013-09-30,9.02,$0.06,150.37
2013-06-30,8.07,$0.11,73.39
2013-03-31,8.53,$0.21,40.63
2012-12-31,8.18,$0.27,30.3
2012-09-30,7.33,$0.30,24.43
2012-06-30,6.09,$0.30,20.31
2012-03-31,7.58,$0.22,34.45
2011-12-31,6.46,$-0.06,0.0
2011-09-30,5.77,$-0.13,0.0
2011-06-30,7.11,$-0.22,0.0
2011-03-31,9.26,$-0.22,0.0
2010-12-31,8.99,$0.05,179.72
2010-09-30,8.6,$0.29,29.65
2010-06-30,7.8,$0.44,17.73
2010-03-31,8.79,$0.35,25.11
2009-09-30,7.1,$0.39,18.21
