HCA Healthcare PE Ratio Historical Data,HCA Healthcare PE Ratio Historical Data,HCA Healthcare PE Ratio Historical Data,HCA Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,395.59,,18.57
2024-06-30,321.28,$21.30,15.08
2024-03-31,332.88,$20.06,16.59
2023-12-31,269.6,$18.98,14.2
2023-09-30,244.46,$20.33,12.02
2023-06-30,300.91,$20.33,14.8
2023-03-31,260.9,$19.94,13.08
2022-12-31,236.87,$19.23,12.32
2022-09-30,181.01,$17.70,10.23
2022-06-30,165.08,$20.79,7.94
2022-03-31,245.41,$21.25,11.55
2021-12-31,251.05,$21.25,11.81
2021-09-30,236.71,$19.63,12.06
2021-06-30,201.25,$14.58,13.8
2021-03-31,182.92,$13.38,13.67
2020-12-31,159.31,$10.93,14.58
2020-09-30,120.51,$9.89,12.18
2020-06-30,93.81,$9.70,9.67
2020-03-31,86.84,$8.79,9.88
2019-12-31,142.38,$10.07,14.14
2019-09-30,115.66,$9.99,11.58
2019-06-30,129.4,$10.38,12.47
2019-03-31,124.4,$10.44,11.92
2018-12-31,118.41,$10.65,11.12
2018-09-30,132.04,$8.94,14.77
2018-06-30,97.13,$7.94,12.23
2018-03-31,91.52,$7.38,12.4
2017-12-31,82.58,$6.59,12.53
2017-09-30,74.83,$6.88,10.88
2017-06-30,81.98,$7.38,11.11
2016-12-31,69.59,$7.32,9.51
2016-09-30,71.1,$6.33,11.23
2016-06-30,72.4,$6.48,11.17
2016-03-31,73.38,$5.88,12.48
2015-12-31,63.58,$5.37,11.84
2017-03-31,83.66,$5.33,15.7
2015-09-30,72.73,$4.78,15.22
2015-06-30,85.29,$4.89,17.44
2015-03-31,70.73,$4.78,14.8
2014-12-31,69.0,$4.18,16.51
2014-09-30,66.3,$3.91,16.96
2014-06-30,53.01,$3.54,14.97
2014-03-31,49.36,$3.38,14.6
2013-12-31,44.85,$3.36,13.35
2013-09-30,40.19,$3.12,12.88
2013-06-30,33.9,$3.11,10.9
2013-03-31,38.2,$3.05,12.52
2012-12-31,28.36,$3.49,8.13
2012-09-30,26.98,$7.06,3.82
2012-06-30,24.69,$6.39,3.86
2012-03-31,20.08,$5.97,3.36
2011-12-31,16.56,$5.31,3.12
