Evolent Health PE Ratio Historical Data,Evolent Health PE Ratio Historical Data,Evolent Health PE Ratio Historical Data,Evolent Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,24.96,,0.0
2024-06-30,19.12,$-0.94,0.0
2024-03-31,32.79,$-1.25,0.0
2023-12-31,33.03,$-1.27,0.0
2023-09-30,27.23,$-1.02,0.0
2023-06-30,30.3,$-0.70,0.0
2023-03-31,32.45,$-0.38,0.0
2022-12-31,28.08,$-0.20,0.0
2022-09-30,35.93,$-0.15,0.0
2022-06-30,30.71,$-0.32,0.0
2022-03-31,32.3,$-0.38,0.0
2021-12-31,27.67,$-0.44,0.0
2021-09-30,31.0,$-0.55,0.0
2021-06-30,21.12,$-0.84,0.0
2021-03-31,20.2,$-3.11,0.0
2020-12-31,16.03,$-3.91,0.0
2020-09-30,12.41,$-6.10,0.0
2020-06-30,7.12,$-5.96,0.0
2020-03-31,5.43,$-3.96,0.0
2019-12-31,9.05,$-3.63,0.0
2019-09-30,7.19,$-1.48,0.0
2019-06-30,7.95,$-1.34,0.0
2019-03-31,12.58,$-1.09,0.0
2018-12-31,19.95,$-0.68,0.0
2018-09-30,28.4,$-0.65,0.0
2018-06-30,21.05,$-0.67,0.0
2018-03-31,14.25,$-0.82,0.0
2017-12-31,12.3,$-0.98,0.0
2017-09-30,17.8,$-1.13,0.0
2017-06-30,25.35,$-1.21,0.0
2017-03-31,22.3,$-1.13,0.0
2016-12-31,14.8,$-3.70,0.0
2016-09-30,24.62,$-3.47,0.0
2016-06-30,19.2,$-3.50,0.0
2016-03-31,10.56,$6.43,1.64
