H B Fuller PE Ratio Historical Data,H B Fuller PE Ratio Historical Data,H B Fuller PE Ratio Historical Data,H B Fuller PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,79.78,,24.62
2024-08-31,85.42,$3.24,26.36
2024-05-31,79.2,$2.93,27.03
2024-02-29,78.87,$2.75,28.68
2023-11-30,74.85,$2.59,28.9
2023-08-31,71.52,$2.66,26.89
2023-05-31,61.89,$2.83,21.87
2023-02-28,68.39,$2.96,23.1
2022-11-30,78.53,$3.75,20.94
2022-08-31,63.24,$3.46,18.28
2022-05-31,69.08,$3.52,19.62
2021-11-30,70.74,$3.22,21.97
2021-08-31,65.17,$2.81,23.19
2021-05-31,66.49,$2.92,22.77
2021-02-28,53.8,$2.81,19.15
2020-11-30,50.06,$2.86,17.5
2022-02-28,66.27,$2.28,29.07
2020-08-31,45.93,$2.20,20.88
2020-05-31,35.74,$2.38,15.02
2020-02-29,37.07,$2.47,15.01
2019-11-30,46.98,$2.52,18.64
2019-08-31,40.0,$2.70,14.81
2019-05-31,36.89,$2.45,15.06
2019-02-28,47.08,$2.61,18.04
2018-11-30,44.85,$3.29,13.63
2018-08-31,52.81,$2.35,22.47
2018-05-31,47.63,$2.12,22.47
2018-02-28,46.42,$1.76,26.37
2017-11-30,51.96,$1.13,45.98
2017-08-31,45.98,$2.04,22.54
2017-05-31,46.36,$2.19,21.17
2017-02-28,45.0,$2.34,19.23
2016-11-30,42.67,$2.42,17.63
2016-08-31,42.98,$2.15,19.99
2016-05-31,41.2,$2.03,20.3
2016-02-29,34.63,$1.86,18.62
2015-11-30,35.69,$1.68,21.24
2015-08-31,32.37,$1.40,23.12
2015-05-31,37.5,$0.96,39.06
2015-02-28,39.68,$0.88,45.09
2014-11-30,38.23,$0.97,39.42
2014-08-31,41.51,$1.19,34.88
2014-05-31,42.1,$1.66,25.36
2014-02-28,42.56,$1.77,24.05
2013-11-30,44.88,$1.90,23.62
2013-08-31,32.59,$1.96,16.63
2013-05-31,36.25,$3.05,11.88
2013-02-28,35.55,$2.58,13.78
2012-11-30,28.51,$2.47,11.54
2012-08-31,26.32,$2.51,10.48
2012-05-31,26.23,$1.34,19.58
2012-02-29,25.93,$1.80,14.41
2011-11-30,19.8,$1.79,11.06
2011-08-31,18.96,$1.70,11.15
2011-05-31,19.0,$1.61,11.8
2011-02-28,18.31,$1.33,13.76
2010-11-30,17.76,$1.42,12.51
2010-08-31,16.03,$1.48,10.83
2010-05-31,17.94,$1.82,9.86
2010-02-28,17.6,$1.96,8.98
2009-11-30,17.02,$1.71,9.95
