TORM PE Ratio Historical Data,TORM PE Ratio Historical Data,TORM PE Ratio Historical Data,TORM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.9,,3.83
2024-06-30,36.93,$7.80,4.73
2024-03-31,30.73,$7.92,3.88
2023-12-31,26.74,$7.46,3.58
2023-09-30,23.14,$8.09,2.86
2023-06-30,19.16,$9.30,2.06
2023-03-31,23.39,$8.47,2.76
2022-12-31,20.33,$6.79,2.99
2022-09-30,13.45,$3.96,3.4
2022-06-30,8.72,$1.14,7.65
2022-03-31,5.7,$-0.14,0.0
2021-12-31,5.13,$-0.54,0.0
2021-09-30,4.98,$-0.97,0.0
2021-06-30,5.67,$-0.77,0.0
2021-03-31,5.87,$0.16,36.7
2020-12-31,4.54,$1.19,3.81
2020-09-30,4.39,$2.08,2.11
2020-06-30,3.87,$1.95,1.99
2020-03-31,4.27,$1.06,4.03
2019-12-31,6.12,$0.19,32.21
2019-09-30,4.8,$-0.17,0.0
2019-06-30,5.08,$0.26,19.55
2018-06-30,4.1,$0.17,24.09
2018-03-31,4.18,$-0.05,0.0
