Omnicell PE Ratio Historical Data,Omnicell PE Ratio Historical Data,Omnicell PE Ratio Historical Data,Omnicell PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.43,,0.0
2024-06-30,27.07,$-0.46,0.0
2024-03-31,29.23,$-0.46,0.0
2023-12-31,37.63,$-0.45,0.0
2023-09-30,45.04,$-0.77,0.0
2023-06-30,73.67,$-0.52,0.0
2023-03-31,58.67,$-0.40,0.0
2022-12-31,50.42,$0.10,504.2
2022-09-30,87.03,$1.02,85.32
2022-06-30,113.75,$1.26,90.28
2022-03-31,129.49,$1.49,86.91
2021-12-31,180.44,$1.62,111.38
2021-09-30,148.43,$1.71,86.8
2021-06-30,151.45,$1.30,116.5
2021-03-31,129.87,$0.77,168.66
2020-12-31,120.02,$0.73,164.41
2020-09-30,74.66,$0.87,85.82
2020-06-30,70.62,$1.13,62.5
2020-03-31,65.58,$1.60,40.99
2019-12-31,81.72,$1.42,57.55
2019-09-30,72.27,$1.27,56.91
2019-06-30,86.03,$1.14,75.46
2019-03-31,80.84,$0.93,86.92
2018-12-31,61.24,$0.92,66.57
2018-09-30,71.9,$1.18,60.93
2018-06-30,52.45,$1.01,51.93
2018-03-31,43.4,$0.87,49.89
2017-12-31,48.5,$0.51,95.1
2017-09-30,51.05,$-0.11,0.0
2017-06-30,43.1,$-0.22,0.0
2017-03-31,40.65,$-0.27,0.0
2016-12-31,33.9,$0.01,3390.0
2016-09-30,38.3,$0.22,174.09
2016-06-30,34.23,$0.39,87.77
2016-03-31,27.87,$0.66,42.23
2015-12-31,31.08,$0.84,37.0
2015-09-30,31.1,$0.88,35.34
2015-06-30,37.71,$0.86,43.85
2015-03-31,35.1,$0.83,42.29
2014-12-31,33.12,$0.83,39.9
2014-09-30,27.33,$0.77,35.49
2014-06-30,28.71,$0.78,36.81
2014-03-31,28.62,$0.74,38.68
2013-12-31,25.53,$0.67,38.1
2013-09-30,23.68,$0.64,37.0
2013-06-30,20.55,$0.63,32.62
2013-03-31,18.88,$0.50,37.76
2012-12-31,14.87,$0.47,31.64
2012-09-30,13.9,$0.43,32.33
2012-06-30,14.64,$0.32,45.75
2012-03-31,15.21,$0.36,42.25
2011-12-31,16.52,$0.31,53.29
2011-09-30,13.78,$0.21,65.62
2011-06-30,15.59,$0.16,97.44
2011-03-31,15.24,$0.14,108.86
2010-12-31,14.45,$0.15,96.33
2010-09-30,13.08,$0.15,87.2
2010-06-30,11.69,$0.14,83.5
2010-03-31,14.03,$0.11,127.55
2009-12-31,11.69,$0.02,584.5
