American Eagle Outfitters PE Ratio Historical Data,American Eagle Outfitters PE Ratio Historical Data,American Eagle Outfitters PE Ratio Historical Data,American Eagle Outfitters PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,21.5,,18.53
2024-07-31,21.92,$1.16,18.89
2024-01-31,19.48,$0.86,22.65
2023-10-31,17.07,$1.11,15.38
2023-07-31,13.65,$0.96,14.21
2023-04-30,12.9,$1.13,11.41
2023-01-31,15.43,$0.80,19.29
2024-04-30,23.97,$0.68,35.25
2022-10-31,10.86,$0.59,18.41
2022-07-31,11.51,$0.91,12.65
2022-04-30,14.23,$1.73,8.23
2022-01-31,21.29,$2.03,10.49
2021-10-31,21.99,$1.80,12.22
2021-07-31,31.7,$1.38,22.97
2021-04-30,31.63,$0.72,43.93
2021-01-31,20.66,$-1.28,0.0
2020-10-31,12.4,$-1.27,0.0
2020-07-31,9.04,$-1.11,0.0
2020-04-30,7.19,$-0.65,0.0
2020-01-31,13.02,$1.12,11.63
2019-10-31,13.78,$1.52,9.06
2019-07-31,15.7,$1.38,11.37
2019-04-30,20.93,$1.22,17.15
2019-01-31,18.47,$1.51,12.23
2018-07-31,21.71,$1.44,15.08
2018-04-30,17.73,$1.22,14.53
2018-01-31,15.33,$1.14,13.45
2017-10-31,11.01,$0.92,11.97
2017-07-31,9.92,$0.97,10.23
2017-04-30,11.69,$1.08,10.82
2017-01-31,12.41,$1.16,10.7
2016-10-31,13.89,$1.28,10.86
2016-07-31,14.51,$1.35,10.75
2016-04-30,11.5,$1.50,7.66
2016-01-31,11.67,$1.45,8.05
2018-10-31,20.01,$1.18,16.96
2015-10-31,12.08,$1.02,11.85
2015-07-31,13.93,$0.69,20.18
2015-04-30,12.39,$0.55,22.53
2015-01-31,10.86,$0.42,25.85
2014-10-31,9.86,$0.15,65.74
2014-07-31,8.1,$0.23,35.22
2014-04-30,8.69,$0.30,28.96
2014-01-31,10.06,$0.75,13.42
2013-10-31,11.42,$1.09,10.48
2013-07-31,14.23,$1.05,13.55
2013-01-31,14.54,$1.15,12.65
2012-10-31,14.86,$0.94,15.81
2012-07-31,13.79,$0.82,16.82
2012-04-30,11.86,$0.83,14.29
2012-01-31,9.22,$0.77,11.97
2011-10-31,8.52,$0.95,8.97
2011-07-31,8.45,$0.85,9.94
2011-04-30,9.92,$0.80,12.4
2011-01-31,9.15,$0.71,12.89
2010-10-31,9.76,$0.55,17.74
2010-07-31,7.44,$0.66,11.27
2010-04-30,10.07,$0.75,13.42
2010-01-31,9.47,$0.81,11.69
2009-10-31,10.36,$0.69,15.01
2009-07-31,8.47,$0.55,15.4
