Honda PE Ratio Historical Data,Honda PE Ratio Historical Data,Honda PE Ratio Historical Data,Honda PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.98,,6.61
2024-06-30,32.24,$4.69,6.87
2024-03-31,37.23,$4.72,7.89
2023-12-31,30.7,$4.24,7.24
2023-09-30,33.42,$4.20,7.96
2023-06-30,29.61,$3.93,7.53
2023-03-31,25.88,$3.00,8.63
2022-12-31,21.97,$3.12,7.04
2022-09-30,20.75,$3.09,6.71
2022-06-30,22.77,$3.17,7.18
2022-03-31,26.64,$3.68,7.24
2021-12-31,26.37,$4.22,6.25
2021-09-30,28.43,$4.81,5.91
2021-06-30,29.37,$5.24,5.61
2021-03-31,27.57,$3.62,7.62
2020-12-31,25.37,$2.29,11.08
2020-09-30,21.11,$1.32,15.99
2020-06-30,22.59,$1.05,21.52
2020-03-31,19.77,$2.38,8.31
2019-12-31,24.65,$2.47,9.98
2019-09-30,22.5,$2.71,8.3
2019-06-30,22.08,$2.74,8.06
2019-03-31,23.03,$3.11,7.4
2018-12-31,22.21,$3.74,5.94
2018-09-30,25.01,$5.71,4.38
2018-06-30,24.14,$5.50,4.39
2018-03-31,28.41,$5.28,5.38
2017-12-31,27.68,$5.19,5.33
2017-09-30,23.85,$3.17,7.52
2017-06-30,21.94,$3.28,6.69
2017-03-31,24.05,$3.18,7.56
2016-12-31,23.03,$2.25,10.24
2016-09-30,22.66,$2.02,11.22
2016-06-30,19.71,$1.64,12.02
2016-03-31,21.09,$1.54,13.7
2015-12-31,24.44,$2.46,9.94
2015-09-30,22.75,$2.52,9.03
2015-06-30,24.37,$2.65,9.2
2015-03-31,24.64,$2.61,9.44
2014-12-31,22.2,$3.08,7.21
2014-09-30,25.79,$3.32,7.77
2014-06-30,26.32,$3.28,8.02
2014-03-31,26.58,$3.17,8.39
2013-12-31,31.1,$2.69,11.56
2013-09-30,28.55,$2.32,12.31
2013-06-30,27.76,$2.23,12.45
2013-03-31,28.36,$2.46,11.53
2012-12-31,27.26,$2.49,10.95
2012-09-30,22.69,$2.33,9.74
2012-06-30,25.28,$2.18,11.6
2012-03-31,27.84,$1.48,18.81
2011-12-31,22.04,$1.30,16.95
2011-09-30,20.91,$1.51,13.85
2011-06-30,27.53,$1.97,13.98
2011-03-31,26.62,$3.45,7.72
2010-12-31,27.91,$2.09,13.35
2010-09-30,25.04,$2.36,10.61
2010-06-30,20.15,$1.79,11.26
2010-03-31,24.63,$0.13,189.46
2009-12-31,23.58,$0.15,157.18
