Apollo Global Management PE Ratio Historical Data,Apollo Global Management PE Ratio Historical Data,Apollo Global Management PE Ratio Historical Data,Apollo Global Management PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,145.19,,15.48
2024-06-30,118.07,$9.38,12.59
2024-03-31,112.45,$9.03,12.45
2023-12-31,93.19,$8.41,11.08
2023-09-30,89.76,$4.73,18.98
2023-06-30,76.81,$2.11,36.4
2023-03-31,63.16,$-2.42,0.0
2022-12-31,63.79,$-5.58,0.0
2022-09-30,46.5,$-5.64,0.0
2022-06-30,48.15,$-3.11,0.0
2022-03-31,61.13,$3.12,19.59
2021-12-31,70.99,$7.43,9.55
2021-09-30,59.97,$8.32,7.21
2021-06-30,60.03,$8.42,7.13
2021-03-31,44.98,$7.56,5.95
2020-12-31,46.32,$0.28,165.43
2020-09-30,41.84,$-0.84,0.0
2020-06-30,46.21,$-0.32,0.0
2020-03-31,30.69,$-1.41,0.0
2019-12-31,42.89,$3.76,11.41
2019-09-30,33.61,$2.08,16.16
2019-06-30,30.0,$1.22,24.59
2019-03-31,24.36,$0.91,26.77
2018-12-31,20.76,$-0.13,0.0
2018-09-30,28.74,$1.79,16.05
2018-06-30,26.17,$2.02,12.96
2018-03-31,24.02,$2.02,11.89
2017-12-31,26.62,$3.11,8.56
2017-09-30,23.63,$3.06,7.72
2017-06-30,20.4,$2.56,7.97
2017-03-31,18.42,$3.03,6.08
2016-12-31,14.37,$2.09,6.88
2016-09-30,13.09,$1.24,10.56
2016-06-30,10.83,$0.94,11.52
2016-03-31,12.05,$0.33,36.53
2015-12-31,10.49,$0.56,18.73
2015-09-30,11.63,$0.49,23.73
2015-06-30,14.69,$0.62,23.7
2014-12-31,14.86,$0.64,23.22
2014-09-30,14.55,$1.53,9.51
2014-06-30,16.6,$1.67,9.94
2014-03-31,18.41,$2.47,7.45
2013-12-31,17.68,$2.47,7.16
2015-03-31,14.11,$3.13,4.51
2013-09-30,15.26,$4.16,3.67
2013-06-30,12.39,$3.66,3.39
2013-03-31,10.88,$2.96,3.68
2012-12-31,8.34,$2.03,4.11
2012-09-30,6.86,$0.96,7.14
2012-06-30,5.7,$-3.53,0.0
2012-03-31,6.42,$-3.61,0.0
2011-12-31,5.4,$-3.88,0.0
