AZZ PE Ratio Historical Data,AZZ PE Ratio Historical Data,AZZ PE Ratio Historical Data,AZZ PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,79.5,,62.11
2024-08-31,83.17,$1.28,64.98
2024-05-31,83.69,$1.07,78.22
2024-02-29,72.48,$3.43,21.13
2023-11-30,48.82,$2.77,17.62
2023-08-31,48.58,$0.88,55.2
2023-05-31,34.4,$-2.00,0.0
2023-02-28,39.88,$-2.02,0.0
2022-11-30,40.68,$-1.05,0.0
2022-08-31,41.43,$0.77,53.81
2022-05-31,43.34,$3.44,12.6
2022-02-28,47.49,$3.36,14.13
2021-11-30,49.89,$3.12,15.99
2021-08-31,51.31,$3.03,16.94
2021-05-31,51.09,$2.20,23.22
2021-02-28,48.64,$1.53,31.79
2020-11-30,42.3,$0.49,86.33
2020-08-31,32.79,$0.57,57.52
2020-05-31,29.73,$1.23,24.17
2020-02-29,34.44,$1.83,18.82
2019-11-30,35.4,$2.58,13.72
2019-08-31,38.2,$2.33,16.4
2019-05-31,38.81,$2.17,17.88
2019-02-28,42.29,$2.26,18.71
2018-11-30,43.7,$1.91,22.88
2018-08-31,49.02,$1.64,29.89
2018-02-28,37.0,$1.72,21.51
2017-11-30,43.39,$1.26,34.44
2017-08-31,43.95,$1.87,23.5
2017-05-31,48.6,$2.25,21.6
2017-02-28,52.39,$2.12,24.71
2018-05-31,39.32,$2.49,15.79
2016-11-30,57.98,$2.51,23.1
2016-08-31,58.98,$2.72,21.69
2016-05-31,52.28,$3.11,16.81
2016-02-29,44.62,$2.93,15.23
2015-11-30,52.44,$3.08,17.03
2015-05-31,41.97,$2.70,15.55
2015-02-28,39.65,$2.51,15.8
2014-11-30,38.95,$2.28,17.08
2014-08-31,40.17,$2.18,18.43
2014-05-31,38.47,$2.37,16.23
2014-02-28,38.23,$2.43,15.73
2015-08-31,44.44,$2.60,17.09
2013-11-30,41.97,$2.45,17.13
2013-08-31,32.12,$2.33,13.79
2013-05-31,35.35,$2.31,15.3
2013-02-28,37.94,$2.37,16.01
2012-11-30,32.27,$2.31,13.97
2012-08-31,26.79,$2.11,12.72
2012-05-31,22.53,$1.87,12.08
2012-02-29,20.98,$1.61,13.03
2011-11-30,17.61,$1.52,11.63
2011-08-31,19.57,$1.51,13.0
2011-05-31,18.15,$1.51,12.02
2011-02-28,17.45,$1.39,12.55
2010-11-30,15.15,$1.35,11.26
2010-08-31,16.13,$1.31,12.31
2010-05-31,14.81,$1.37,10.81
2010-02-28,12.53,$1.52,8.27
2009-11-30,13.39,$1.60,8.37
