Spirit Aerosystems Holdings PE Ratio Historical Data,Spirit Aerosystems Holdings PE Ratio Historical Data,Spirit Aerosystems Holdings PE Ratio Historical Data,Spirit Aerosystems Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,32.21,,0.0
2024-06-30,32.87,$-10.29,0.0
2024-03-31,36.07,$-8.69,0.0
2023-12-31,31.78,$-6.06,0.0
2023-09-30,16.14,$-8.90,0.0
2023-06-30,29.19,$-8.18,0.0
2023-03-31,34.53,$-7.39,0.0
2022-12-31,29.6,$-5.22,0.0
2022-09-30,21.92,$-4.05,0.0
2022-06-30,29.29,$-3.92,0.0
2022-03-31,48.86,$-4.05,0.0
2021-12-31,43.05,$-5.19,0.0
2021-09-30,44.14,$-6.89,0.0
2021-06-30,47.12,$-7.30,0.0
2021-03-31,48.57,$-8.46,0.0
2020-12-31,39.02,$-8.38,0.0
2020-09-30,18.87,$-4.88,0.0
2020-06-30,23.88,$-2.12,0.0
2020-03-31,23.86,$1.95,12.24
2019-12-31,72.63,$5.07,14.33
2019-09-30,81.83,$6.10,13.42
2019-06-30,80.85,$6.43,12.57
2019-03-31,90.81,$6.13,14.81
2018-12-31,71.43,$5.68,12.58
2018-09-30,90.68,$5.07,17.89
2018-06-30,84.87,$4.74,17.9
2018-03-31,82.57,$2.95,27.99
2017-12-31,85.97,$3.02,28.47
2017-09-30,76.49,$2.84,26.93
2017-06-30,56.95,$2.74,20.79
2017-03-31,56.83,$3.57,15.92
2016-12-31,57.16,$3.69,15.49
2016-09-30,43.56,$3.81,11.43
2016-06-30,42.05,$4.89,8.6
2016-03-31,44.36,$5.65,7.85
2015-12-31,48.96,$5.66,8.65
2015-09-30,47.27,$3.88,12.18
2015-06-30,53.89,$2.84,18.98
2015-03-31,51.06,$2.74,18.63
2014-12-31,42.09,$2.51,16.77
2014-09-30,37.22,$-0.87,0.0
2014-06-30,32.96,$-1.42,0.0
2014-03-31,27.57,$-3.90,0.0
2013-12-31,33.33,$-4.40,0.0
2013-09-30,23.7,$0.18,131.69
2013-06-30,21.01,$-1.41,0.0
2013-03-31,18.57,$0.30,61.9
2012-12-31,16.6,$0.25,66.38
2012-09-30,21.72,$0.24,90.5
2012-06-30,23.3,$1.65,14.12
2012-03-31,23.92,$1.62,14.77
2011-12-31,20.32,$1.34,15.16
2011-09-30,15.6,$1.36,11.47
2011-06-30,21.51,$1.22,17.63
2011-03-31,25.1,$1.40,17.93
2010-12-31,20.35,$1.56,13.05
2010-09-30,19.49,$1.48,13.17
2010-06-30,18.64,$1.77,10.53
2010-03-31,22.86,$1.32,17.32
2009-12-31,19.42,$1.37,14.18
