James Hardie Industries PE Ratio Historical Data,James Hardie Industries PE Ratio Historical Data,James Hardie Industries PE Ratio Historical Data,James Hardie Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.7,,31.64
2024-06-30,31.54,$1.16,27.19
2024-03-31,40.46,$1.16,34.88
2023-12-31,38.67,$1.21,31.96
2023-09-30,26.24,$1.10,23.85
2023-06-30,26.89,$1.14,23.59
2023-03-31,21.65,$1.15,18.83
2022-12-31,17.94,$1.09,16.46
2022-09-30,19.78,$1.17,16.91
2022-06-30,21.94,$1.13,19.42
2022-03-31,29.81,$1.03,28.94
2021-12-31,40.22,$1.13,35.6
2021-09-30,34.92,$0.98,35.63
2021-06-30,33.46,$0.84,39.84
2021-03-31,29.93,$0.59,50.73
2020-12-31,28.38,$0.38,74.69
2020-09-30,22.78,$0.33,69.04
2020-06-30,18.41,$0.36,51.14
2020-03-31,11.46,$0.54,21.23
2019-12-31,18.79,$0.53,35.46
2019-09-30,16.0,$0.58,27.59
2019-06-30,12.58,$0.51,24.66
2019-03-31,12.01,$0.51,23.54
2018-12-31,10.95,$0.38,28.82
2018-09-30,14.11,$0.41,34.41
2018-06-30,15.63,$0.40,39.08
2018-03-31,16.25,$0.85,19.12
2017-12-31,16.01,$1.49,10.74
2017-09-30,12.7,$1.51,8.41
2017-06-30,14.25,$1.49,9.56
2017-03-31,14.01,$1.79,7.83
2016-12-31,14.1,$1.60,8.81
2016-09-30,13.86,$1.46,9.49
2016-06-30,13.52,$1.62,8.34
2016-03-31,11.79,$0.80,14.74
2015-12-31,10.96,$0.54,20.3
2015-09-30,10.33,$0.72,14.34
2015-06-30,11.38,$0.72,15.81
2015-03-31,9.56,$0.65,14.61
2014-12-31,8.99,$0.17,51.65
2014-09-30,8.57,$0.14,59.54
2014-06-30,10.72,$-0.03,0.0
2014-03-31,10.77,$0.23,47.24
2013-12-31,8.86,$0.49,18.08
2013-09-30,7.57,$0.35,21.51
2013-06-30,6.61,$0.27,24.66
2013-03-31,7.72,$0.11,71.46
2012-12-31,7.15,$1.37,5.24
2012-09-30,6.61,$1.28,5.16
2012-06-30,6.0,$1.54,3.9
2012-03-31,5.59,$1.38,4.05
2011-12-31,4.87,$0.28,17.64
2011-09-30,3.81,$0.23,16.71
2011-06-30,4.35,$-1.04,0.0
2011-03-31,4.37,$-0.80,0.0
2010-12-31,4.88,$-0.80,0.0
2010-09-30,3.7,$-0.71,0.0
2010-06-30,3.58,$0.22,16.4
2010-03-31,4.56,$-0.20,0.0
2009-12-31,5.28,$-0.50,0.0
