Ultra Clean Holdings PE Ratio Historical Data,Ultra Clean Holdings PE Ratio Historical Data,Ultra Clean Holdings PE Ratio Historical Data,Ultra Clean Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,37.46,,0.0
2024-06-30,49.0,$-0.19,0.0
2024-03-31,45.94,$-0.82,0.0
2023-12-31,34.14,$0.00,0.0
2023-09-30,29.67,$0.29,102.31
2023-06-30,38.46,$0.05,769.2
2022-12-31,33.15,$0.87,38.1
2022-09-30,25.75,$1.26,20.44
2022-06-30,29.77,$0.97,30.69
2022-03-31,42.39,$2.23,19.01
2021-12-31,57.36,$2.01,28.54
2023-03-31,33.16,$1.61,20.6
2021-09-30,42.6,$2.24,19.02
2021-06-30,53.72,$2.13,25.22
2021-03-31,58.04,$2.26,25.68
2020-12-31,31.15,$1.89,16.48
2020-09-30,21.46,$1.08,19.87
2020-06-30,22.63,$0.50,45.26
2020-03-31,13.8,$-0.03,0.0
2019-12-31,23.47,$-0.24,0.0
2019-09-30,14.64,$-0.01,0.0
2019-06-30,13.92,$-0.17,0.0
2019-03-31,10.35,$0.32,32.34
2018-12-31,8.47,$0.96,8.82
2018-09-30,12.55,$1.59,7.89
2018-06-30,16.6,$2.31,7.19
2018-03-31,19.25,$2.42,7.95
2017-12-31,23.09,$2.18,10.59
2017-09-30,30.62,$1.88,16.29
2017-06-30,18.75,$1.39,13.49
2017-03-31,16.87,$0.82,20.57
2016-12-31,9.7,$0.30,32.33
2016-09-30,7.41,$-0.49,0.0
2016-06-30,5.69,$-0.52,0.0
2016-03-31,5.36,$-0.47,0.0
2015-12-31,5.12,$-0.33,0.0
2015-09-30,5.74,$0.28,20.5
2015-06-30,6.23,$0.05,124.6
2015-03-31,7.15,$0.18,39.72
2014-12-31,9.28,$0.38,24.42
2014-09-30,8.95,$0.48,18.65
2014-06-30,9.05,$0.73,12.4
2014-03-31,13.15,$0.61,21.56
2013-12-31,10.03,$0.36,27.86
2013-09-30,6.91,$0.08,86.38
2013-06-30,6.05,$-0.05,0.0
2013-03-31,6.5,$0.04,162.5
2012-12-31,4.91,$0.25,19.64
2012-09-30,5.71,$0.65,8.78
2012-06-30,6.43,$0.85,7.56
2012-03-31,7.54,$0.98,7.69
2011-12-31,6.11,$1.03,5.93
2011-09-30,4.29,$0.86,4.99
2011-06-30,9.08,$1.01,8.99
2011-03-31,10.34,$0.96,10.77
2010-12-31,9.31,$0.88,10.58
2010-09-30,8.62,$0.82,10.51
2010-06-30,8.52,$0.46,18.52
2010-03-31,8.53,$-0.45,0.0
2009-12-31,6.99,$-0.95,0.0
