Pathward Financial PE Ratio Historical Data,Pathward Financial PE Ratio Historical Data,Pathward Financial PE Ratio Historical Data,Pathward Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,75.14,,11.32
2024-06-30,56.53,$6.64,8.51
2024-03-31,50.39,$6.66,7.57
2023-12-31,52.79,$6.09,8.67
2023-09-30,45.92,$6.01,7.64
2023-06-30,46.15,$5.46,8.45
2023-03-31,41.26,$4.54,9.09
2022-12-31,42.76,$4.21,10.16
2022-09-30,32.7,$5.23,6.25
2022-06-30,38.31,$4.92,7.79
2022-03-31,54.34,$5.37,10.12
2021-12-31,58.97,$5.55,10.63
2021-09-30,51.83,$4.39,11.81
2021-06-30,49.95,$4.27,11.7
2021-03-31,44.66,$3.59,12.44
2020-12-31,36.0,$3.20,11.25
2020-09-30,18.9,$2.92,6.47
2020-06-30,17.82,$3.07,5.8
2020-03-31,21.25,$3.29,6.46
2019-12-31,35.65,$2.65,13.45
2019-09-30,31.79,$2.48,12.82
2019-06-30,27.31,$2.19,12.47
2019-03-31,19.12,$1.67,11.43
2018-12-31,18.79,$1.94,9.69
2018-09-30,26.64,$1.71,15.58
2018-06-30,31.34,$1.53,20.44
2018-03-31,35.09,$1.65,21.31
2017-12-31,29.74,$1.71,17.39
2017-09-30,25.13,$1.78,14.09
2017-06-30,28.47,$2.07,13.78
2017-03-31,28.27,$2.28,12.4
2016-09-30,19.3,$1.30,14.81
2016-06-30,16.2,$1.28,12.65
2016-03-31,14.46,$0.98,14.75
2015-12-31,14.52,$0.64,22.68
2015-09-30,13.16,$0.74,17.79
2016-12-31,32.82,$0.72,45.37
2015-06-30,13.48,$0.85,15.8
2015-03-31,12.44,$0.86,14.47
2014-12-31,10.93,$0.82,13.34
2014-09-30,10.96,$0.84,13.0
2014-06-30,12.39,$0.86,14.41
2014-03-31,13.85,$0.85,16.23
2013-12-31,12.42,$0.82,15.14
2013-09-30,11.66,$0.79,14.7
2013-06-30,8.03,$0.69,11.59
2013-03-31,8.07,$0.69,11.64
2012-12-31,6.9,$1.54,4.49
2012-09-30,7.3,$1.67,4.37
2012-06-30,5.93,$1.81,3.27
2012-03-31,6.25,$1.48,4.22
2011-12-31,4.92,$0.74,6.65
2011-09-30,5.53,$0.49,11.22
2011-06-30,5.54,$0.51,10.94
2011-03-31,4.76,$0.99,4.82
2010-12-31,3.95,$1.27,3.1
2010-09-30,9.08,$1.35,6.74
2010-06-30,8.48,$1.01,8.42
2010-03-31,7.11,$0.31,23.17
2009-12-31,5.85,$-0.12,0.0
