Cohu PE Ratio Historical Data,Cohu PE Ratio Historical Data,Cohu PE Ratio Historical Data,Cohu PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,25.18,,0.0
2024-06-30,33.1,$-0.61,0.0
2024-03-31,33.33,$-0.05,0.0
2023-12-31,35.39,$0.71,49.85
2023-09-30,34.44,$1.26,27.33
2023-06-30,41.56,$1.77,23.48
2022-12-31,32.05,$1.99,16.11
2022-09-30,25.78,$1.96,13.15
2022-06-30,27.75,$1.78,15.59
2022-03-31,29.6,$1.67,17.72
2021-12-31,38.09,$3.15,12.09
2023-03-31,38.39,$3.34,11.49
2021-09-30,31.94,$3.35,9.53
2021-06-30,36.79,$2.71,13.58
2021-03-31,41.84,$0.68,61.53
2020-12-31,38.18,$-0.35,0.0
2020-09-30,17.18,$-1.11,0.0
2020-06-30,17.34,$-1.20,0.0
2020-03-31,12.38,$-1.56,0.0
2019-12-31,22.79,$-2.54,0.0
2019-09-30,13.43,$-1.96,0.0
2019-06-30,15.27,$-1.32,0.0
2018-12-31,15.79,$-0.57,0.0
2018-09-30,24.59,$1.06,23.19
2018-06-30,23.95,$0.35,68.43
2018-03-31,22.24,$0.26,85.53
2017-12-31,21.34,$0.34,62.75
2019-03-31,14.54,$0.35,41.55
2017-09-30,23.12,$0.98,23.59
2017-06-30,15.21,$0.69,22.04
2017-03-31,17.78,$0.43,41.35
2016-12-31,13.34,$0.12,111.16
2016-09-30,11.21,$0.11,101.9
2016-06-30,10.3,$0.14,73.58
2016-03-31,11.22,$0.04,280.59
2015-12-31,11.34,0,0.0
2015-09-30,9.22,$-0.06,0.0
2015-06-30,12.3,$0.19,64.71
2015-03-31,10.12,$0.35,28.91
2014-12-31,10.95,$0.33,33.17
2014-09-30,10.95,$0.06,182.56
2014-06-30,9.74,$-0.66,0.0
2014-03-31,9.73,$-0.98,0.0
2013-12-31,9.45,$-1.34,0.0
2013-09-30,9.76,$-1.29,0.0
2013-06-30,11.12,$-0.93,0.0
2013-03-31,8.28,$-0.86,0.0
2012-12-31,9.53,$-0.34,0.0
2012-09-30,8.2,$0.01,820.06
2012-06-30,8.81,$0.29,30.39
2011-12-31,9.73,$0.65,14.97
2011-09-30,8.42,$1.01,8.33
2011-06-30,11.11,$1.19,9.33
2011-03-31,12.95,$1.26,10.28
2010-12-31,13.92,$1.03,13.52
2010-09-30,10.53,$0.67,15.72
2010-06-30,10.09,$0.35,28.84
2010-03-31,11.41,$-0.90,0.0
2009-12-31,11.51,$-1.21,0.0
2009-09-30,11.13,$-1.37,0.0
