Shopify PE Ratio Historical Data,Shopify PE Ratio Historical Data,Shopify PE Ratio Historical Data,Shopify PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,81.63,,83.3
2024-06-30,66.05,$0.98,67.4
2024-03-31,77.17,$-0.17,0.0
2023-12-31,77.9,$0.09,865.56
2023-09-30,54.57,$-0.91,0.0
2023-06-30,64.6,$-1.58,0.0
2023-03-31,47.94,$-1.51,0.0
2022-12-31,34.71,$-2.73,0.0
2022-09-30,26.94,$-2.54,0.0
2022-06-30,31.24,$-1.52,0.0
2022-03-31,67.6,$0.13,540.77
2021-12-31,137.74,$2.29,60.17
2021-09-30,135.58,$2.68,50.53
2021-06-30,146.1,$1.94,75.42
2021-03-31,110.65,$1.28,86.72
2020-12-31,113.2,$0.26,443.9
2020-09-30,102.3,$0.16,651.57
2020-06-30,94.92,$-0.06,0.0
2020-03-31,41.69,$-0.12,0.0
2019-12-31,39.76,$-0.11,0.0
2019-09-30,31.17,$-0.11,0.0
2019-06-30,30.02,$-0.07,0.0
2019-03-31,20.66,$-0.07,0.0
2018-12-31,13.85,$-0.06,0.0
2018-09-30,16.45,$-0.06,0.0
2018-06-30,14.59,$-0.05,0.0
2018-03-31,12.46,$-0.04,0.0
2017-12-31,10.1,$-0.04,0.0
2017-09-30,11.65,$-0.05,0.0
2017-06-30,8.69,$-0.05,0.0
2017-03-31,6.81,$-0.05,0.0
2016-12-31,4.29,$-0.04,0.0
2016-09-30,4.29,$-0.04,0.0
2016-06-30,3.08,$-0.04,0.0
2016-03-31,2.82,$-0.03,0.0
