Danaher PE Ratio Historical Data,Danaher PE Ratio Historical Data,Danaher PE Ratio Historical Data,Danaher PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,269.31,,47.83
2024-06-30,249.85,$5.63,44.38
2024-03-31,249.45,$5.90,42.28
2023-12-31,230.84,$6.39,36.13
2023-09-30,247.0,$7.93,31.15
2023-06-30,238.94,$8.52,28.04
2023-03-31,250.64,$9.28,27.01
2022-12-31,263.66,$9.65,27.32
2022-09-30,256.34,$9.05,28.32
2022-06-30,251.36,$8.49,29.61
2022-03-31,290.55,$8.64,33.63
2021-12-31,325.61,$8.62,37.77
2021-09-30,301.1,$7.89,38.16
2021-06-30,265.23,$7.51,35.32
2021-03-31,222.28,$6.35,35.01
2020-12-31,219.17,$4.87,45.0
2020-09-30,212.28,$4.94,42.97
2020-06-30,174.17,$4.67,37.3
2020-03-31,136.19,$4.40,30.95
2019-12-31,150.82,$4.05,37.24
2019-09-30,141.77,$3.37,42.07
2019-06-30,140.12,$3.41,41.09
2019-03-31,129.28,$3.39,38.14
2018-12-31,100.85,$3.73,27.04
2018-09-30,106.1,$3.89,27.27
2018-06-30,96.21,$3.77,25.52
2018-03-31,95.3,$3.61,26.4
2017-12-31,90.2,$3.53,25.55
2017-09-30,83.23,$3.39,24.55
2017-06-30,81.75,$3.14,26.04
2017-03-31,82.72,$3.29,25.14
2016-12-31,75.16,$3.66,20.54
2016-09-30,75.57,$3.58,21.11
2016-06-30,73.7,$5.03,14.65
2016-03-31,69.1,$5.06,13.66
2015-12-31,67.55,$4.76,14.19
2015-09-30,61.88,$4.69,13.19
2015-06-30,62.06,$3.63,17.1
2015-03-31,61.46,$3.61,17.02
2014-12-31,61.95,$3.63,17.07
2014-09-30,54.85,$3.82,14.36
2014-06-30,56.76,$3.71,15.3
2014-03-31,54.01,$3.63,14.88
2013-12-31,55.51,$3.80,14.61
2013-09-30,49.83,$3.58,13.92
2013-06-30,45.49,$3.51,12.96
2013-03-31,44.64,$3.48,12.83
2012-12-31,40.14,$3.36,11.95
2012-09-30,39.58,$3.27,12.1
2012-06-30,37.36,$3.24,11.53
2012-03-31,40.15,$3.34,12.02
2011-12-31,33.71,$3.11,10.84
2011-09-30,30.04,$3.00,10.01
2011-06-30,37.94,$3.21,11.82
2011-03-31,37.14,$2.82,13.17
2010-12-31,33.74,$2.64,12.81
2010-09-30,29.04,$2.35,12.38
2010-06-30,26.53,$1.92,13.82
2010-03-31,28.54,$1.82,15.73
2009-12-31,26.84,$1.73,15.52
