Cleanspark PE Ratio Historical Data,Cleanspark PE Ratio Historical Data,Cleanspark PE Ratio Historical Data,Cleanspark PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,11.72,,0.0
2024-06-30,15.95,$-0.31,0.0
2024-03-31,21.21,$0.60,35.35
2023-12-31,11.03,$-0.21,0.0
2023-09-30,3.81,$-0.79,0.0
2023-06-30,4.29,$-0.79,0.0
2023-03-31,2.78,$-1.38,0.0
2022-12-31,2.04,$-1.15,0.0
2022-09-30,3.18,$-0.36,0.0
2022-06-30,3.92,$-0.51,0.0
2022-03-31,12.37,$-0.29,0.0
2021-12-31,9.52,$-0.07,0.0
2021-09-30,11.59,$-0.74,0.0
2021-06-30,16.64,$-0.59,0.0
2021-03-31,23.82,$-0.87,0.0
2020-12-31,29.05,$-2.22,0.0
