Gentherm Inc PE Ratio Historical Data,Gentherm Inc PE Ratio Historical Data,Gentherm Inc PE Ratio Historical Data,Gentherm Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,41.09,,19.47
2024-06-30,49.32,$2.11,23.37
2024-03-31,57.58,$1.46,39.44
2023-12-31,52.36,$1.23,42.57
2023-09-30,54.26,$0.54,100.48
2023-06-30,56.51,$0.35,161.46
2023-03-31,60.42,$0.61,99.05
2022-12-31,65.29,$0.72,90.68
2022-09-30,49.73,$1.45,34.3
2022-06-30,62.41,$1.63,38.29
2022-03-31,73.04,$2.16,33.81
2021-12-31,86.9,$2.80,31.04
2021-09-30,80.93,$3.22,25.13
2021-06-30,71.05,$3.48,20.42
2021-03-31,74.11,$2.42,30.62
2020-12-31,65.22,$1.79,36.44
2020-09-30,40.9,$1.09,37.52
2020-06-30,38.9,$0.84,46.31
2020-03-31,31.4,$1.24,25.32
2019-12-31,44.39,$1.13,39.28
2019-09-30,41.09,$1.17,35.12
2019-06-30,41.83,$0.68,61.51
2019-03-31,36.86,$1.05,35.1
2018-12-31,39.98,$1.15,34.77
2018-09-30,45.45,$0.65,69.92
2018-06-30,39.3,$0.84,46.79
2018-03-31,33.95,$0.62,54.76
2017-12-31,31.75,$0.96,33.07
2017-09-30,37.15,$1.81,20.52
2017-06-30,38.8,$2.18,17.8
2017-03-31,39.25,$2.45,16.02
2016-12-31,33.85,$2.09,16.2
2016-09-30,31.42,$2.16,14.55
2016-06-30,34.25,$2.37,14.45
2016-03-31,41.59,$2.40,17.33
2015-12-31,47.4,$2.62,18.09
2015-09-30,44.92,$2.39,18.79
2015-06-30,54.91,$2.11,26.02
2015-03-31,50.51,$2.04,24.76
2014-12-31,36.62,$1.96,18.68
2014-09-30,42.23,$1.72,24.55
2014-06-30,44.45,$1.48,30.03
2014-03-31,34.72,$1.17,29.68
2013-12-31,26.81,$0.94,28.52
2013-09-30,19.09,$0.72,26.51
2013-06-30,18.57,$0.57,32.58
2013-03-31,16.38,$0.54,30.33
2012-12-31,13.3,$0.41,32.44
2012-09-30,12.44,$0.57,21.82
2012-06-30,11.49,$0.41,28.02
2012-03-31,16.18,$0.22,73.55
2011-12-31,14.26,$0.08,178.25
2011-09-30,12.73,$-0.02,0.0
2011-06-30,17.38,$0.17,102.24
2011-03-31,15.27,$0.34,44.91
2010-12-31,10.88,$0.44,24.73
2010-09-30,10.3,$0.35,29.43
2010-06-30,7.38,$0.28,26.36
2010-03-31,10.09,$0.14,72.07
2009-12-31,7.94,$0.03,264.67
