NBT Bancorp PE Ratio Historical Data,NBT Bancorp PE Ratio Historical Data,NBT Bancorp PE Ratio Historical Data,NBT Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,46.49,,18.02
2024-06-30,38.33,$2.58,14.86
2024-03-31,36.11,$2.59,13.94
2023-12-31,40.87,$2.66,15.37
2023-09-30,30.63,$2.86,10.71
2023-06-30,30.5,$3.22,9.47
2023-03-31,32.0,$3.40,9.41
2022-12-31,40.91,$3.52,11.62
2022-09-30,35.53,$3.54,10.04
2022-06-30,34.92,$3.50,9.98
2022-03-31,33.31,$3.54,9.41
2021-12-31,35.26,$3.55,9.93
2021-09-30,32.81,$3.47,9.45
2021-06-30,32.42,$3.41,9.51
2021-03-31,35.71,$3.05,11.71
2020-12-31,28.52,$2.37,12.03
2020-09-30,23.61,$2.25,10.5
2020-06-30,26.85,$2.18,12.31
2020-03-31,28.03,$2.31,12.13
2019-12-31,34.83,$2.74,12.71
2019-09-30,31.21,$2.73,11.43
2019-06-30,31.76,$2.68,11.85
2019-03-31,30.27,$2.63,11.51
2018-12-31,28.89,$2.56,11.28
2018-09-30,32.05,$2.31,13.87
2018-06-30,31.66,$2.15,14.73
2018-03-31,29.25,$2.00,14.63
2017-12-31,30.14,$1.87,16.12
2017-09-30,29.9,$1.92,15.57
2017-06-30,29.88,$1.86,16.06
2017-03-31,29.78,$1.83,16.27
2016-12-31,33.46,$1.80,18.59
2016-09-30,26.1,$1.78,14.67
2016-06-30,22.58,$1.77,12.75
2016-03-31,21.09,$1.74,12.12
2015-12-31,21.64,$1.72,12.58
2015-09-30,20.76,$1.71,12.14
2015-06-30,19.99,$1.51,13.24
2015-03-31,18.98,$1.70,11.16
2014-12-31,19.72,$1.70,11.6
2014-09-30,16.76,$1.69,9.92
2014-06-30,17.73,$1.88,9.43
2014-03-31,17.89,$1.64,10.91
2013-12-31,18.77,$1.44,13.03
2013-09-30,16.52,$1.42,11.63
2013-06-30,15.08,$1.41,10.69
2013-03-31,15.62,$1.43,10.92
2012-12-31,14.16,$1.63,8.68
2012-09-30,15.26,$1.65,9.25
2012-06-30,14.79,$1.67,8.85
2012-03-31,14.97,$1.70,8.81
2011-12-31,14.87,$1.70,8.75
2011-09-30,12.39,$1.71,7.24
2011-06-30,14.58,$1.68,8.68
2011-03-31,14.87,$1.67,8.91
2010-12-31,15.62,$1.67,9.35
2010-09-30,14.15,$1.65,8.58
2010-06-30,12.96,$1.63,7.95
2010-03-31,14.39,$1.55,9.29
2009-12-31,12.7,$1.54,8.25
