Civitas Resources PE Ratio Historical Data,Civitas Resources PE Ratio Historical Data,Civitas Resources PE Ratio Historical Data,Civitas Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,51.44,,5.95
2024-06-30,67.06,$8.65,7.75
2024-03-31,72.17,$8.22,8.78
2023-12-31,63.7,$8.94,7.13
2023-09-30,73.64,$9.03,8.16
2023-06-30,61.88,$12.21,5.07
2023-03-31,59.11,$15.97,3.7
2022-12-31,48.49,$14.58,3.33
2022-09-30,46.43,$13.75,3.38
2022-06-30,41.2,$10.32,3.99
2022-03-31,46.18,$4.01,11.52
2021-12-31,37.08,$2.93,12.65
2021-09-30,35.96,$3.36,10.7
2021-06-30,35.05,$2.21,15.86
2021-03-31,26.42,$1.17,22.58
2020-12-31,14.29,$4.98,2.87
2020-09-30,13.9,$1.95,7.13
2020-06-30,10.96,$3.53,3.1
2020-03-31,8.32,$7.39,1.13
2019-12-31,17.26,$3.25,5.31
2019-09-30,16.55,$3.39,4.88
2019-06-30,15.44,$3.75,4.12
2019-03-31,16.78,$2.00,8.39
2018-12-31,15.28,$3.02,5.06
2018-09-30,22.02,$2.74,8.04
2018-06-30,28.0,$0.85,32.94
2018-03-31,20.49,$2.28,8.99
2017-12-31,20.4,$-0.31,0.0
2017-09-30,24.39,$-153.96,0.0
2017-06-30,23.44,$-233.95,0.0
2017-03-31,95.7,$-347.98,0.0
2016-12-31,84.15,$-453.93,0.0
2016-09-30,84.15,"$-1,657.30",0.0
2016-06-30,165.83,"$-1,830.34",0.0
2016-03-31,131.18,"$-1,811.24",0.0
2015-12-31,434.78,"$-1,749.44",0.0
2015-09-30,335.78,$-511.24,0.0
2015-06-30,1505.64,$-125.84,0.0
2015-03-31,2034.47,$-29.21,0.0
2014-12-31,1980.02,$55.06,35.96
2014-09-30,4694.29,$244.94,19.16
2014-06-30,4718.22,$161.80,29.16
2014-03-31,3663.03,$198.88,18.42
2013-12-31,3586.31,$192.14,18.67
2013-09-30,3981.49,$157.30,25.31
2013-06-30,2925.48,$117.98,24.8
2013-03-31,3190.3,$138.20,23.08
2012-12-31,2292.7,$131.46,17.44
2012-09-30,1943.72,$94.38,20.59
