Uniti Group PE Ratio Historical Data,Uniti Group PE Ratio Historical Data,Uniti Group PE Ratio Historical Data,Uniti Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,5.72,,286.0
2024-06-30,2.92,$0.02,146.0
2024-03-31,5.59,$0.06,93.25
2023-12-31,5.34,$-0.18,0.0
2023-09-30,4.25,$-0.18,0.0
2023-06-30,4.04,$-0.50,0.0
2023-03-31,3.0,$-0.40,0.0
2022-12-31,4.48,$-0.11,0.0
2022-09-30,5.49,$-0.09,0.0
2022-06-30,7.32,$0.74,9.9
2022-03-31,10.53,$0.73,14.43
2021-12-31,10.61,$0.50,21.22
2021-09-30,9.26,$0.15,61.73
2021-06-30,7.83,$0.02,391.72
2021-03-31,8.05,$-3.24,0.0
2020-12-31,8.44,$-3.63,0.0
2020-09-30,7.48,$-3.49,0.0
2020-06-30,6.54,$-3.63,0.0
2020-03-31,4.15,$-0.37,0.0
2019-12-31,5.51,$0.05,110.11
2019-09-30,5.07,$0.16,31.67
2019-06-30,6.16,$0.27,22.82
2019-03-31,7.22,$0.04,180.47
2018-12-31,10.0,$0.02,499.99
2018-09-30,12.46,$0.09,138.49
2018-06-30,12.03,$0.06,200.51
2018-03-31,9.47,$-0.02,0.0
2017-12-31,10.0,$-0.15,0.0
2017-09-30,7.98,$-0.31,0.0
2017-06-30,13.14,$-0.32,0.0
2017-03-31,13.2,$-0.23,0.0
2016-12-31,12.68,$-0.04,0.0
2016-09-30,15.31,$0.05,306.18
2016-06-30,13.83,$0.14,98.76
2016-03-31,10.42,$0.21,49.61
