United Therapeutics PE Ratio Historical Data,United Therapeutics PE Ratio Historical Data,United Therapeutics PE Ratio Historical Data,United Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,372.81,,17.13
2024-06-30,318.55,$21.76,14.64
2024-03-31,229.72,$21.15,10.86
2023-12-31,219.89,$19.84,11.08
2023-09-30,225.87,$18.15,12.44
2023-06-30,220.75,$17.68,12.49
2023-03-31,223.96,$14.85,15.08
2022-12-31,278.09,$15.02,18.51
2022-09-30,209.38,$14.70,14.24
2022-06-30,235.64,$13.21,17.84
2022-03-31,179.41,$14.45,12.42
2021-12-31,216.08,$10.03,21.54
2021-09-30,184.58,$9.87,18.7
2021-06-30,179.41,$10.29,17.44
2021-03-31,167.27,$9.05,18.48
2020-12-31,151.79,$11.56,13.13
2020-09-30,101.0,$10.57,9.56
2020-06-30,121.0,$9.74,12.42
2020-03-31,94.83,$11.99,7.91
2019-12-31,88.08,$10.35,8.51
2019-09-30,79.75,$11.57,6.89
2019-06-30,78.06,$12.54,6.22
2018-12-31,108.9,$13.45,8.1
2018-09-30,127.88,$12.40,10.31
2018-06-30,113.15,$-1.34,0.0
2018-03-31,112.36,$0.95,118.27
2017-12-31,147.95,$-5.87,0.0
2019-03-31,117.37,$-2.41,0.0
2017-09-30,117.19,$11.34,10.33
2017-06-30,129.73,$8.57,15.14
2017-03-31,135.38,$14.21,9.53
2016-12-31,143.43,$15.16,9.46
2016-09-30,118.08,$14.83,7.96
2016-06-30,105.92,$20.57,5.15
2016-03-31,111.43,$18.09,6.16
2015-12-31,156.61,$12.89,12.15
2015-09-30,131.24,$12.96,10.13
2015-06-30,173.95,$3.19,54.53
2015-03-31,172.44,$3.38,51.02
2014-12-31,129.49,$6.17,20.99
2014-09-30,128.65,$3.40,37.84
2014-06-30,88.49,$5.10,17.35
2014-03-31,94.03,$4.52,20.8
2013-12-31,113.08,$3.28,34.48
2013-09-30,78.85,$5.48,14.39
2013-06-30,65.82,$5.77,11.41
2013-03-31,60.87,$5.59,10.89
2012-12-31,53.42,$5.69,9.39
2012-09-30,55.88,$4.86,11.5
2012-06-30,49.38,$4.78,10.33
2012-03-31,47.13,$4.62,10.2
2011-12-31,47.25,$3.59,13.16
2011-09-30,37.49,$2.97,12.62
2011-06-30,55.1,$2.25,24.49
2011-03-31,67.02,$1.69,39.66
2010-12-31,63.22,$1.75,36.13
2010-09-30,56.01,$1.54,36.37
2010-06-30,48.81,$1.09,44.78
2010-03-31,55.33,$0.43,130.19
2009-12-31,52.65,$0.35,150.43
