JinkoSolar Holding PE Ratio Historical Data,JinkoSolar Holding PE Ratio Historical Data,JinkoSolar Holding PE Ratio Historical Data,JinkoSolar Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,19.87,,6.49
2024-06-30,19.22,$3.06,6.28
2024-03-31,23.37,$6.41,3.65
2023-12-31,34.27,$7.85,4.37
2023-09-30,27.02,$8.62,3.13
2023-06-30,39.48,$6.99,5.65
2023-03-31,45.39,$2.05,22.14
2022-12-31,36.37,$-0.03,0.0
2022-09-30,49.27,$-0.23,0.0
2022-06-30,61.54,$-1.21,0.0
2022-03-31,42.96,$0.88,48.81
2021-12-31,40.88,$0.23,177.76
2021-09-30,40.75,$-2.63,0.0
2021-06-30,49.83,$-3.46,0.0
2021-03-31,37.09,$-2.74,0.0
2020-12-31,55.04,$-1.81,0.0
2020-09-30,35.37,$1.36,26.01
2020-06-30,15.75,$2.92,5.4
2020-03-31,13.21,$2.17,6.09
2019-12-31,20.01,$1.94,10.31
2019-09-30,14.19,$1.42,9.99
2019-06-30,19.29,$1.49,12.95
2019-03-31,16.01,$1.69,9.47
2018-12-31,8.8,$1.56,5.64
2018-09-30,9.58,$1.24,7.73
2018-06-30,12.25,$0.56,21.87
2018-03-31,16.23,$0.38,42.72
2017-12-31,21.39,$0.64,33.43
2017-09-30,22.19,$5.02,4.42
2017-06-30,18.5,$6.05,3.06
2017-03-31,14.74,$7.12,2.07
2016-12-31,13.55,$8.15,1.66
2016-09-30,14.06,$5.33,2.64
2016-06-30,18.13,$5.05,3.59
2016-03-31,18.6,$4.16,4.47
2015-12-31,24.61,$3.11,7.91
2015-09-30,19.52,$1.95,10.01
2015-06-30,26.26,$3.26,8.06
2015-03-31,22.81,$5.24,4.35
2014-12-31,17.53,$6.73,2.61
2011-03-31,24.02,$7.60,3.16
2010-12-31,17.9,$3.30,5.42
2010-09-30,28.12,$-1.61,0.0
2010-06-30,8.63,$-5.94,0.0
2012-06-30,3.06,$-9.19,0.0
2012-03-31,5.43,$-5.61,0.0
2011-12-31,4.45,$-1.74,0.0
2011-09-30,4.32,$1.48,2.92
2011-06-30,23.59,$3.14,7.51
2014-09-30,24.45,$2.72,8.99
2014-06-30,26.84,$2.12,12.66
2014-03-31,24.86,$1.84,13.51
2013-12-31,26.06,$1.12,23.27
2013-09-30,20.06,$-5.35,0.0
2013-06-30,8.04,$-6.46,0.0
