QuidelOrtho PE Ratio Historical Data,QuidelOrtho PE Ratio Historical Data,QuidelOrtho PE Ratio Historical Data,QuidelOrtho PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.07,,0.0
2024-06-30,33.22,$-27.79,0.0
2024-03-31,47.94,$-26.39,0.0
2023-12-31,73.7,$-0.16,0.0
2023-09-30,73.04,$0.19,384.42
2023-06-30,82.86,$0.66,125.55
2023-03-31,89.09,$1.82,48.95
2022-12-31,85.67,$12.40,6.91
2022-09-30,71.48,$18.80,3.8
2022-06-30,97.18,$23.60,4.12
2022-03-31,112.46,$23.69,4.75
2021-12-31,134.99,$16.47,8.2
2021-09-30,141.15,$20.40,6.92
2021-06-30,128.12,$20.65,6.2
2021-03-31,127.93,$21.75,5.88
2020-12-31,179.65,$18.59,9.66
2020-09-30,219.38,$8.52,25.75
2020-06-30,223.74,$3.57,62.67
2020-03-31,97.81,$2.05,47.71
2019-12-31,75.03,$1.72,43.62
2019-09-30,61.35,$1.79,34.27
2019-06-30,59.32,$1.68,35.31
2019-03-31,65.47,$1.57,41.7
2018-12-31,48.82,$1.83,26.68
2018-09-30,65.17,$0.90,72.41
2018-06-30,66.5,$0.47,141.49
2018-03-31,51.81,$0.20,259.05
2017-12-31,43.35,$-0.24,0.0
2017-09-30,43.86,$-0.15,0.0
2017-06-30,27.14,$-0.01,0.0
2017-03-31,22.64,$0.10,226.4
2016-12-31,21.42,$-0.43,0.0
2016-09-30,22.09,$-0.38,0.0
2016-06-30,17.86,$-0.38,0.0
2016-03-31,17.26,$-0.40,0.0
2015-12-31,21.2,$-0.18,0.0
2015-09-30,18.88,$0.03,629.33
2015-06-30,22.95,$-0.12,0.0
2015-03-31,26.98,$-0.06,0.0
2014-12-31,28.92,$-0.21,0.0
2014-09-30,26.87,$-0.38,0.0
2014-06-30,22.11,$-0.34,0.0
2014-03-31,27.3,$-0.19,0.0
2013-12-31,30.89,$0.21,147.1
2013-09-30,28.4,$0.44,64.55
2013-06-30,25.53,$0.55,46.42
2013-03-31,23.75,$0.50,47.5
2012-12-31,18.67,$0.14,133.36
2012-09-30,18.93,$-0.09,0.0
2012-06-30,15.68,$-0.10,0.0
2012-03-31,18.37,$-0.11,0.0
2011-12-31,15.13,$0.24,63.04
2011-09-30,16.37,$0.20,81.85
2011-06-30,15.15,$0.02,757.5
2011-03-31,11.96,$0.04,299.0
2010-12-31,14.45,$-0.40,0.0
2010-09-30,10.99,$0.28,39.25
2010-06-30,12.69,$0.99,12.82
2010-03-31,14.54,$1.10,13.22
2009-12-31,13.78,$1.10,12.53
