Virtus Investment Partners PE Ratio Historical Data,Virtus Investment Partners PE Ratio Historical Data,Virtus Investment Partners PE Ratio Historical Data,Virtus Investment Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,223.65,,14.98
2024-06-30,223.97,$14.93,15.0
2024-03-31,243.83,$16.60,14.69
2023-12-31,237.71,$17.71,13.42
2023-09-30,196.53,$18.27,10.76
2023-06-30,190.57,$18.33,10.4
2023-03-31,182.05,$16.52,11.02
2022-12-31,181.63,$15.53,11.7
2022-09-30,149.93,$17.05,8.79
2022-06-30,159.56,$20.16,7.91
2022-03-31,222.09,$25.73,8.63
2021-12-31,273.27,$26.05,10.49
2021-09-30,284.06,$25.16,11.29
2021-06-30,253.51,$21.51,11.79
2021-03-31,214.29,$15.08,14.21
2020-12-31,196.72,$9.96,19.75
2020-09-30,125.04,$7.39,16.92
2020-06-30,104.36,$6.63,15.74
2020-03-31,67.78,$8.46,8.01
2019-12-31,107.82,$11.65,9.26
2019-09-30,97.35,$8.83,11.02
2019-06-30,94.08,$9.07,10.37
2019-03-31,85.08,$8.56,9.94
2018-12-31,68.84,$8.72,7.89
2018-09-30,98.04,$9.17,10.69
2018-06-30,109.9,$8.19,13.42
2018-03-31,105.92,$5.10,20.77
2017-12-31,98.09,$3.95,24.83
2017-09-30,98.56,$5.36,18.39
2017-06-30,93.87,$5.14,18.26
2017-03-31,89.24,$6.45,13.84
2016-12-31,99.07,$6.28,15.78
2016-09-30,81.73,$5.17,15.81
2016-06-30,59.13,$3.11,19.01
2016-03-31,64.48,$3.22,20.02
2015-12-31,96.49,$3.88,24.87
2015-09-30,82.22,$5.17,15.9
2015-06-30,107.79,$9.26,11.64
2015-03-31,106.24,$10.28,10.33
2014-12-31,138.06,$10.82,12.76
2014-09-30,140.3,$11.33,12.38
2014-06-30,170.67,$9.22,18.51
2013-12-31,161.24,$8.85,18.22
2013-09-30,131.09,$7.70,17.02
2013-06-30,142.07,$7.48,18.99
2013-03-31,150.14,$7.00,21.45
2012-12-31,97.48,$6.31,15.45
2014-03-31,139.58,$5.49,25.42
2012-09-30,69.32,$19.50,3.55
2012-06-30,65.29,$17.51,3.73
2012-03-31,69.14,$16.77,4.12
2011-12-31,61.26,$16.52,3.71
2011-09-30,43.22,$0.62,69.71
2011-06-30,48.92,$1.55,31.56
2011-03-31,47.49,$1.17,40.59
2010-12-31,36.57,$0.77,47.49
2010-09-30,24.39,$0.41,59.49
2010-06-30,15.09,$-0.10,0.0
2010-03-31,16.8,$-0.56,0.0
2009-12-31,12.82,$-1.77,0.0
