Essex Property Trust PE Ratio Historical Data,Essex Property Trust PE Ratio Historical Data,Essex Property Trust PE Ratio Historical Data,Essex Property Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,301.79,,37.35
2024-06-30,272.2,$8.08,33.69
2024-03-31,242.63,$8.18,29.66
2023-12-31,243.26,$6.31,38.55
2023-09-30,206.17,$8.15,25.3
2023-06-30,225.29,$8.22,27.41
2023-03-31,199.12,$7.54,26.41
2022-12-31,199.51,$6.28,31.77
2022-09-30,225.7,$5.52,40.89
2022-06-30,241.44,$5.91,40.85
2022-03-31,316.31,$6.04,52.37
2021-12-31,320.47,$7.51,42.67
2021-09-30,289.2,$6.88,42.03
2021-06-30,269.61,$6.19,43.56
2021-03-31,242.62,$6.48,37.44
2020-12-31,210.32,$5.84,36.01
2020-09-30,176.33,$5.88,29.99
2020-06-30,199.17,$6.15,32.39
2019-12-31,256.74,$6.67,38.49
2019-09-30,276.95,$6.50,42.61
2019-06-30,246.04,$9.75,25.24
2019-03-31,242.14,$9.57,25.3
2018-12-31,203.91,$9.28,21.97
2020-03-31,189.67,$8.88,21.36
2018-09-30,205.16,$5.69,36.06
2018-06-30,197.29,$5.68,34.73
2018-03-31,197.06,$5.24,37.61
2017-12-31,196.1,$6.58,29.8
2017-09-30,204.9,$7.99,25.64
2017-06-30,206.09,$7.78,26.49
2017-03-31,184.23,$7.80,23.62
2016-12-31,183.62,$6.30,29.15
2016-09-30,174.65,$3.97,43.99
2016-06-30,177.63,$3.67,48.4
2015-12-31,183.86,$3.49,52.68
2015-09-30,170.57,$2.90,58.82
2015-06-30,161.15,$3.10,51.98
2015-03-31,173.18,$2.48,69.83
2014-12-31,154.67,$2.14,72.28
2014-09-30,133.0,$2.36,56.35
2014-06-30,136.6,$3.35,40.78
2014-03-31,124.74,$3.94,31.66
2013-12-31,104.5,$4.04,25.87
2013-09-30,106.66,$4.41,24.19
2013-06-30,113.84,$3.02,37.7
2013-03-31,107.04,$3.42,31.3
2012-12-31,103.41,$3.41,30.33
2012-09-30,103.75,$2.61,39.75
2012-06-30,106.93,$2.39,44.74
2012-03-31,104.49,$1.64,63.71
2011-12-31,96.19,$1.24,77.57
2011-09-30,81.57,$0.98,83.24
2011-06-30,91.15,$0.96,94.95
2011-03-31,82.9,$0.96,86.35
2010-12-31,75.71,$1.14,66.41
2010-09-30,71.89,$1.22,58.93
2010-06-30,63.47,$2.20,28.85
2010-03-31,57.95,$2.62,22.12
2009-12-31,53.27,$2.60,20.49
2016-03-31,180.82,$3.89,46.48
