Century Aluminum PE Ratio Historical Data,Century Aluminum PE Ratio Historical Data,Century Aluminum PE Ratio Historical Data,Century Aluminum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,16.95,,0.0
2024-06-30,16.75,$-0.11,0.0
2023-12-31,12.14,$-0.50,0.0
2023-09-30,7.19,$-2.04,0.0
2023-06-30,8.72,$0.67,13.01
2023-03-31,10.0,$1.03,9.71
2022-12-31,8.18,$1.81,4.52
2024-03-31,15.39,$3.23,4.76
2022-09-30,5.28,$1.56,3.38
2022-06-30,7.37,$0.55,13.4
2022-03-31,26.31,$-0.20,0.0
2021-12-31,16.56,$-1.93,0.0
2021-09-30,13.45,$-2.92,0.0
2021-06-30,12.89,$-2.99,0.0
2021-03-31,17.66,$-2.90,0.0
2020-12-31,11.03,$-1.38,0.0
2020-09-30,7.12,$-1.03,0.0
2020-06-30,7.13,$-0.61,0.0
2020-03-31,3.62,$-0.54,0.0
2019-12-31,7.52,$-0.90,0.0
2019-09-30,6.64,$-1.59,0.0
2019-06-30,6.91,$-1.36,0.0
2019-03-31,8.88,$-0.76,0.0
2018-12-31,7.31,$-0.15,0.0
2018-03-31,16.54,$0.66,25.06
2017-12-31,19.64,$0.49,40.08
2017-09-30,16.58,$-1.81,0.0
2017-06-30,15.58,$-2.26,0.0
2017-03-31,12.69,$-3.00,0.0
2016-12-31,8.56,$-2.94,0.0
2018-09-30,11.97,$-1.20,0.0
2016-09-30,6.95,$-1.47,0.0
2016-06-30,6.33,$-1.45,0.0
2016-03-31,7.05,$-1.73,0.0
2015-12-31,4.42,$-0.78,0.0
2015-09-30,4.6,$0.35,13.14
2015-06-30,10.43,$1.52,6.86
2015-03-31,13.8,$2.12,6.51
2014-12-31,24.4,$1.13,21.59
2014-09-30,25.97,$0.39,66.59
2014-06-30,15.68,$-0.24,0.0
2014-03-31,13.21,$-0.84,0.0
2013-12-31,10.46,$-0.52,0.0
2013-09-30,8.03,$-0.49,0.0
2013-06-30,9.28,$-0.52,0.0
2013-03-31,7.74,$-0.27,0.0
2012-12-31,8.76,$-0.40,0.0
2012-09-30,7.16,$-0.67,0.0
2012-06-30,7.33,$-0.60,0.0
2012-03-31,8.88,$-0.22,0.0
2011-12-31,8.51,$0.07,121.57
2011-09-30,8.94,$1.06,8.43
2011-06-30,15.65,$0.95,16.47
2011-03-31,18.68,$0.91,20.53
2010-12-31,15.53,$0.71,21.87
2010-09-30,13.17,$0.13,101.31
2018-06-30,15.75,$0.03,525.0
2010-06-30,8.83,$0.28,31.54
2010-03-31,13.76,$-0.23,0.0
2009-12-31,16.19,$-2.06,0.0
