Steven Madden PE Ratio Historical Data,Steven Madden PE Ratio Historical Data,Steven Madden PE Ratio Historical Data,Steven Madden PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,48.61,,19.84
2024-06-30,42.11,$2.45,17.19
2024-03-31,41.89,$2.42,17.31
2023-12-31,41.4,$2.30,18.0
2023-09-30,31.16,$2.23,13.97
2023-06-30,31.86,$2.15,14.82
2023-03-31,34.86,$2.31,15.09
2022-12-31,30.77,$2.77,11.11
2022-09-30,25.51,$3.16,8.07
2022-06-30,30.59,$3.19,9.59
2022-03-31,36.48,$3.02,12.08
2021-12-31,43.64,$2.34,18.65
2021-09-30,37.59,$1.81,20.77
2021-06-30,40.8,$0.90,45.33
2021-03-31,34.62,$0.24,144.26
2020-12-31,32.7,$-0.24,0.0
2020-09-30,18.05,$-0.31,0.0
2020-06-30,22.86,$0.41,55.74
2020-03-31,21.5,$1.06,20.29
2019-12-31,39.54,$1.43,27.65
2019-09-30,32.79,$1.86,17.63
2019-06-30,30.98,$1.60,19.32
2018-12-31,27.38,$1.50,18.29
2018-09-30,21.17,$1.63,12.96
2018-06-30,21.17,$1.40,15.09
2018-03-31,17.44,$1.54,11.3
2017-12-31,18.47,$1.54,11.97
2019-03-31,30.74,$1.49,20.64
2017-09-30,17.13,$1.41,12.18
2017-06-30,15.8,$1.39,11.4
2017-03-31,15.25,$1.33,11.44
2016-12-31,14.14,$1.32,10.71
2016-09-30,13.67,$1.28,10.68
2016-06-30,13.52,$1.25,10.79
2016-03-31,14.65,$1.24,11.81
2015-12-31,11.95,$1.23,9.69
2015-09-30,14.48,$1.17,12.34
2015-06-30,16.92,$1.12,15.11
2015-03-31,15.03,$1.15,13.11
2014-12-31,12.59,$1.17,10.73
2014-09-30,12.75,$1.31,9.76
2014-06-30,13.57,$1.33,10.18
2014-03-31,14.23,$1.33,10.71
2013-12-31,14.47,$1.32,10.96
2013-09-30,14.19,$1.29,11.01
2013-06-30,12.76,$1.23,10.36
2013-03-31,11.4,$1.21,9.4
2012-12-31,11.15,$1.20,9.25
2012-09-30,11.53,$1.12,10.29
2012-06-30,8.37,$1.07,7.85
2012-03-31,11.27,$1.04,10.84
2011-12-31,9.1,$1.00,9.06
2011-09-30,7.94,$0.94,8.41
2011-06-30,9.89,$0.85,11.57
2011-03-31,8.25,$0.82,10.09
2010-12-31,7.33,$0.79,9.24
2010-09-30,7.22,$0.75,9.57
2010-06-30,5.54,$0.71,7.85
2010-03-31,5.72,$0.63,9.09
2009-12-31,4.83,$0.54,8.96
