Golar LNG PE Ratio Historical Data,Golar LNG PE Ratio Historical Data,Golar LNG PE Ratio Historical Data,Golar LNG PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.29,,22.39
2024-03-31,23.67,$1.71,13.84
2023-12-31,22.35,$4.38,5.1
2023-03-31,20.3,$4.44,4.57
2022-06-30,21.38,$4.55,4.7
2022-03-31,23.28,$6.70,3.48
2021-12-31,11.64,$3.73,3.12
2021-09-30,12.19,$3.77,3.23
2021-06-30,12.45,$4.41,2.82
2021-03-31,9.61,$-1.46,0.0
2020-12-31,9.06,$-2.72,0.0
2020-09-30,5.69,$-2.82,0.0
2020-06-30,6.8,$-3.43,0.0
2020-03-31,7.4,$-2.95,0.0
2019-12-31,13.36,$-2.33,0.0
2019-09-30,12.21,$-5.42,0.0
2019-06-30,17.36,$-3.96,0.0
2019-03-31,19.64,$-2.49,0.0
2018-12-31,20.12,$-2.29,0.0
2018-09-30,25.55,$0.84,30.42
2018-06-30,26.95,$-0.24,0.0
2018-03-31,24.98,$-1.33,0.0
2017-12-31,27.17,$-1.12,0.0
2017-09-30,20.57,$-2.23,0.0
2017-06-30,20.19,$-2.66,0.0
2016-09-30,19.12,$-1.93,0.0
2016-06-30,13.95,$-3.49,0.0
2016-03-31,16.12,$-2.45,0.0
2015-12-31,14.13,$-1.36,0.0
2015-09-30,24.32,$-1.50,0.0
2015-06-30,40.36,$0.06,672.66
2015-03-31,28.43,$0.17,167.23
2016-12-31,20.73,$-0.32,0.0
2014-12-31,30.73,$-0.02,0.0
2014-09-30,55.36,$0.03,1845.48
2014-06-30,49.75,$-0.21,0.0
2014-03-31,34.18,$0.79,43.27
2013-12-31,29.42,$1.69,17.41
2013-09-30,30.15,$1.92,15.71
2013-06-30,25.23,$2.64,9.56
2013-03-31,28.87,$2.34,12.34
2012-12-31,28.7,$1.28,22.42
2012-09-30,29.45,$1.19,24.74
2012-06-30,28.47,$0.84,33.89
2024-06-30,31.11,$0.57,54.59
2012-03-31,28.44,$0.57,49.9
2011-12-31,32.96,$0.62,53.16
2011-09-30,23.4,$0.48,48.75
2011-06-30,25.47,$-0.34,0.0
2011-03-31,18.52,$-0.28,0.0
2010-12-31,10.69,$-0.60,0.0
2017-03-31,25.29,$-0.71,0.0
2010-09-30,8.76,$0.20,43.82
2010-06-30,6.71,$0.12,55.89
2010-03-31,7.91,$0.38,20.82
2009-12-31,8.35,$0.34,24.55
