International Flavors & Fragrances PE Ratio Historical Data,International Flavors & Fragrances PE Ratio Historical Data,International Flavors & Fragrances PE Ratio Historical Data,International Flavors & Fragrances PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,103.99,,0.0
2024-06-30,95.21,$-9.22,0.0
2024-03-31,85.63,$-9.77,0.0
2023-12-31,80.25,$-10.04,0.0
2023-09-30,66.9,$0.18,371.65
2023-06-30,77.19,$-8.54,0.0
2023-03-31,88.26,$-8.22,0.0
2022-12-31,99.66,$-7.22,0.0
2022-09-30,85.67,$-6.88,0.0
2022-06-30,111.43,$2.50,44.57
2022-03-31,122.03,$2.18,55.97
2021-12-31,139.12,$1.01,137.74
2021-09-30,122.82,$1.23,99.85
2021-06-30,136.41,$1.22,111.81
2021-03-31,126.81,$1.85,68.55
2020-12-31,98.32,$3.21,30.63
2020-09-30,109.84,$3.34,32.89
2020-06-30,109.13,$3.72,29.34
2020-03-31,90.41,$4.18,21.63
2019-12-31,113.46,$3.99,28.44
2019-09-30,107.26,$3.38,31.73
2019-06-30,126.05,$3.42,36.86
2019-03-31,111.33,$3.47,32.08
2018-12-31,115.39,$4.14,27.87
2018-09-30,118.91,$3.54,33.59
2018-06-30,105.4,$3.76,28.03
2018-03-31,115.77,$3.89,29.76
2017-12-31,128.38,$3.71,34.6
2017-09-30,119.68,$5.22,22.93
2017-06-30,112.52,$4.95,22.73
2017-03-31,109.94,$5.03,21.86
2016-12-31,97.28,$5.05,19.26
2016-09-30,117.41,$4.94,23.77
2016-06-30,103.06,$5.13,20.09
2016-03-31,92.6,$4.96,18.67
2015-12-31,96.9,$5.06,19.15
2015-09-30,83.24,$5.27,15.8
2015-06-30,87.64,$5.27,16.63
2015-03-31,93.75,$5.33,17.59
2014-12-31,80.62,$5.06,15.93
2014-09-30,75.91,$4.71,16.12
2014-06-30,82.17,$4.60,17.86
2014-03-31,75.09,$4.49,16.72
2013-12-31,67.2,$4.29,15.66
2013-09-30,64.04,$4.37,14.65
2013-06-30,58.21,$3.37,17.27
2013-03-31,59.11,$3.21,18.41
2012-12-31,51.07,$3.10,16.47
2012-09-30,45.5,$2.57,17.7
2012-06-30,41.61,$3.37,12.35
2012-03-31,44.25,$3.22,13.74
2011-12-31,39.37,$3.26,12.08
2011-09-30,41.98,$3.64,11.53
2011-06-30,47.72,$3.59,13.29
2011-03-31,46.08,$3.49,13.2
2010-12-31,40.93,$3.26,12.56
2010-09-30,35.55,$3.17,11.21
2010-06-30,30.91,$2.88,10.73
2010-03-31,34.55,$2.66,12.99
2009-12-31,29.65,$2.46,12.05
