"Western Midstream Partners, LP PE Ratio Historical Data","Western Midstream Partners, LP PE Ratio Historical Data","Western Midstream Partners, LP PE Ratio Historical Data","Western Midstream Partners, LP PE Ratio Historical Data"
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,38.51,,9.93
2024-06-30,38.87,$3.88,10.02
2024-03-31,33.91,$3.55,9.55
2023-12-31,27.36,$2.60,10.52
2023-09-30,24.93,$2.71,9.2
2023-06-30,23.8,$2.67,8.92
2023-03-31,22.93,$2.77,8.28
2022-12-31,22.92,$3.00,7.64
2022-09-30,21.11,$2.73,7.73
2022-06-30,20.02,$2.68,7.47
2022-03-31,20.35,$2.49,8.17
2021-12-31,17.72,$2.18,8.13
2021-09-30,16.43,$2.22,7.4
2021-06-30,16.53,$2.16,7.65
2021-03-31,14.13,$2.21,6.39
2020-12-31,10.29,$1.20,8.57
2020-09-30,5.74,$1.20,4.78
2020-06-30,6.97,$0.92,7.57
2020-03-31,2.17,$0.69,3.15
2019-12-31,12.73,$1.56,8.16
2019-09-30,15.63,$1.37,11.41
2019-06-30,18.94,$1.59,11.91
2019-03-31,19.77,$1.53,12.92
2018-12-31,16.44,$1.69,9.73
2018-09-30,17.39,$1.71,10.17
2018-06-30,20.45,$1.66,12.32
2018-03-31,18.63,$1.83,10.18
2017-12-31,20.61,$1.72,11.98
2017-09-30,22.53,$1.65,13.66
2017-06-30,23.24,$1.63,14.26
2017-03-31,24.63,$1.56,15.79
2016-12-31,22.4,$1.53,14.64
2016-09-30,22.24,$1.01,22.02
2016-06-30,19.79,$0.99,19.99
2016-03-31,18.26,$0.89,20.51
2015-12-31,18.32,$0.83,22.07
2015-09-30,19.72,$1.24,15.91
2015-06-30,29.83,$1.09,27.36
2014-12-31,29.62,$1.01,29.33
2014-09-30,29.83,$0.97,30.75
2014-06-30,30.55,$0.90,33.94
2014-03-31,23.8,$0.81,29.39
2013-12-31,19.04,$0.71,26.82
2013-09-30,17.83,$0.49,36.38
2013-06-30,19.64,$0.54,36.36
