Range Resources PE Ratio Historical Data,Range Resources PE Ratio Historical Data,Range Resources PE Ratio Historical Data,Range Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,29.87,,15.16
2024-06-30,33.44,$1.97,16.97
2024-03-31,34.26,$1.97,17.39
2023-12-31,30.21,$3.54,8.53
2023-09-30,32.08,$5.58,5.75
2023-06-30,29.03,$6.87,4.23
2023-03-31,26.07,$8.52,3.06
2022-12-31,24.56,$4.71,5.21
2022-09-30,24.72,$4.87,5.08
2022-06-30,24.16,$1.94,12.46
2022-03-31,29.66,$-0.48,0.0
2021-12-31,17.41,$1.49,11.68
2021-09-30,22.09,$-1.83,0.0
2021-06-30,16.36,$-3.22,0.0
2021-03-31,10.09,$-3.18,0.0
2020-12-31,6.54,$-2.71,0.0
2020-09-30,6.46,$-10.13,0.0
2020-06-30,5.5,$-7.41,0.0
2020-03-31,2.23,$-6.34,0.0
2019-12-31,4.74,$-6.91,0.0
2019-09-30,3.71,$-6.79,0.0
2019-06-30,6.75,$-6.49,0.0
2019-03-31,10.84,$-7.27,0.0
2018-12-31,9.22,$-7.08,0.0
2018-09-30,16.34,$0.96,17.02
2018-06-30,16.07,$0.25,64.26
2018-03-31,13.95,$0.85,16.41
2017-12-31,16.34,$1.34,12.19
2017-09-30,18.72,$-0.21,0.0
2017-06-30,22.14,$0.08,276.77
2017-03-31,27.79,$-1.55,0.0
2016-12-31,32.78,$-2.79,0.0
2016-09-30,36.95,$-4.06,0.0
2016-06-30,41.12,$-5.64,0.0
2016-03-31,30.85,$-5.00,0.0
2015-12-31,23.43,$-4.29,0.0
2015-09-30,30.53,$-0.68,0.0
2015-06-30,46.88,$1.99,23.56
2015-03-31,49.37,$3.74,13.2
2014-12-31,50.66,$3.78,13.4
2014-09-30,64.22,$2.27,28.29
2014-06-30,82.3,$1.53,53.79
2014-03-31,78.5,$1.37,57.3
2013-12-31,79.73,$0.70,113.9
2013-09-30,71.73,$0.85,84.39
2013-06-30,73.05,$0.39,187.3
2013-03-31,76.52,$-0.15,0.0
2012-12-31,59.3,$0.06,988.27
2012-09-30,65.9,$-0.28,0.0
2012-06-30,58.32,$0.28,208.29
2012-03-31,54.77,$0.26,210.64
2011-12-31,58.31,$0.36,161.97
2011-09-30,55.0,$-1.64,0.0
2011-06-30,52.18,$-1.91,0.0
2011-03-31,54.92,$-2.17,0.0
2010-12-31,42.22,$-1.53,0.0
2010-09-30,35.76,$0.38,94.1
2010-06-30,37.61,$0.24,156.7
2010-03-31,43.87,$-0.08,0.0
2009-12-31,46.62,$-0.35,0.0
