Veritex Holdings PE Ratio Historical Data,Veritex Holdings PE Ratio Historical Data,Veritex Holdings PE Ratio Historical Data,Veritex Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.03,,17.52
2024-06-30,20.9,$1.60,13.06
2024-03-31,20.11,$1.72,11.69
2023-12-31,22.61,$1.98,11.42
2023-09-30,17.25,$2.65,6.51
2023-06-30,17.07,$2.84,6.01
2023-03-31,17.16,$2.76,6.22
2022-12-31,26.2,$2.71,9.67
2022-09-30,24.66,$2.80,8.81
2022-06-30,26.97,$2.74,9.84
2022-03-31,34.96,$2.79,12.53
2021-12-31,36.25,$2.78,13.04
2021-09-30,35.7,$2.42,14.75
2021-06-30,31.93,$2.15,14.85
2021-03-31,29.36,$2.04,14.39
2020-12-31,22.88,$1.48,15.46
2020-09-30,15.05,$1.58,9.53
2020-06-30,15.5,$1.63,9.51
2020-03-31,12.1,$1.64,7.38
2019-12-31,25.08,$1.69,14.84
2019-09-30,20.79,$1.53,13.59
2019-06-30,22.24,$1.38,16.11
2019-03-31,20.75,$1.31,15.84
2018-12-31,18.23,$1.60,11.4
2018-09-30,24.1,$1.39,17.34
2018-06-30,26.5,$1.28,20.7
2018-03-31,23.6,$1.09,21.65
2017-12-31,23.53,$0.87,27.05
2017-09-30,22.99,$0.95,24.2
2017-06-30,22.46,$1.01,22.23
2017-03-31,23.98,$1.07,22.41
2016-12-31,22.78,$1.13,20.16
2016-09-30,14.83,$1.09,13.61
2016-06-30,13.66,$1.01,13.53
2016-03-31,12.39,$0.91,13.62
2015-12-31,13.82,$0.83,16.66
2015-09-30,13.32,$0.79,16.86
