Vital Farms PE Ratio Historical Data,Vital Farms PE Ratio Historical Data,Vital Farms PE Ratio Historical Data,Vital Farms PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.27,,37.99
2024-06-30,46.77,$1.06,44.12
2024-03-31,23.25,$0.85,27.35
2023-12-31,15.69,$0.58,27.05
2023-09-30,11.58,$0.45,25.73
2023-06-30,11.99,$0.37,32.41
2023-03-31,15.3,$0.22,69.55
2022-12-31,14.92,$0.02,746.0
2022-09-30,11.97,$-0.11,0.0
2022-06-30,8.75,$-0.16,0.0
2022-03-31,12.36,$-0.07,0.0
2021-12-31,18.06,$0.05,361.2
2021-09-30,17.57,$0.12,146.42
2021-06-30,19.96,$0.19,105.05
