Quanta Services PE Ratio Historical Data,Quanta Services PE Ratio Historical Data,Quanta Services PE Ratio Historical Data,Quanta Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,275.13,,51.91
2024-06-30,254.0,$5.30,47.92
2024-03-31,259.62,$5.16,50.31
2023-12-31,215.65,$5.01,43.04
2023-09-30,186.86,$4.69,39.84
2023-06-30,196.15,$3.92,50.04
2023-03-31,166.23,$3.39,49.04
2022-12-31,142.15,$3.32,42.82
2022-09-30,127.01,$2.93,43.35
2022-06-30,124.89,$3.08,40.55
2022-03-31,131.0,$3.30,39.7
2021-12-31,114.06,$3.35,34.05
2021-09-30,113.22,$3.81,29.72
2021-06-30,90.05,$3.73,24.14
2021-03-31,87.36,$3.44,25.39
2020-12-31,71.51,$3.08,23.22
2020-09-30,52.44,$2.71,19.35
2020-06-30,38.88,$2.50,15.55
2020-03-31,31.36,$2.17,14.45
2019-12-31,40.23,$2.73,14.74
2019-09-30,37.31,$2.31,16.15
2019-06-30,37.66,$2.20,17.12
2019-03-31,37.14,$2.49,14.91
2018-12-31,29.62,$1.91,15.51
2018-09-30,32.85,$2.25,14.6
2018-06-30,32.86,$2.00,16.43
2018-03-31,33.8,$1.93,17.51
2017-12-31,38.48,$2.00,19.24
2017-09-30,36.77,$1.85,19.88
2017-06-30,32.39,$1.77,18.3
2017-03-31,36.52,$1.47,24.84
2016-12-31,34.29,$1.29,26.58
2016-09-30,27.54,$0.69,39.92
2016-06-30,22.75,$1.36,16.73
2016-03-31,22.2,$1.47,15.1
2015-12-31,19.93,$1.59,12.53
2015-09-30,23.82,$1.92,12.41
2015-06-30,28.36,$1.20,23.63
2015-03-31,28.07,$1.35,20.79
2014-12-31,27.94,$1.35,20.69
2014-09-30,35.71,$1.82,19.62
2014-06-30,34.03,$1.82,18.7
2014-03-31,36.31,$1.78,20.4
2013-12-31,31.05,$1.87,16.61
2013-09-30,27.07,$1.56,17.35
2013-06-30,26.04,$1.58,16.48
2013-03-31,28.12,$1.56,18.03
2012-12-31,26.85,$1.44,18.65
2012-09-30,24.3,$1.30,18.7
2012-06-30,23.68,$1.10,21.53
2012-03-31,20.57,$0.94,21.88
2011-12-31,21.19,$0.64,33.12
2011-09-30,18.49,$0.48,38.52
2011-06-30,19.88,$0.53,37.5
2011-03-31,22.07,$0.54,40.87
2010-12-31,19.6,$0.73,26.85
2010-09-30,18.77,$0.78,24.07
2010-06-30,20.32,$0.80,25.4
2010-03-31,18.85,$0.81,23.28
2009-12-31,20.51,$0.81,25.32
