Eversource Energy PE Ratio Historical Data,Eversource Energy PE Ratio Historical Data,Eversource Energy PE Ratio Historical Data,Eversource Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,67.53,,0.0
2024-06-30,56.71,$-0.27,0.0
2024-03-31,59.07,$-1.18,0.0
2023-12-31,60.27,$-1.26,0.0
2023-09-30,56.17,$3.34,16.82
2023-06-30,67.77,$3.37,20.11
2023-03-31,74.11,$4.17,17.77
2022-12-31,78.67,$4.04,19.47
2022-09-30,72.6,$4.01,18.11
2022-06-30,78.09,$3.83,20.39
2022-03-31,80.95,$3.76,21.53
2021-12-31,82.86,$3.54,23.41
2021-09-30,73.97,$3.44,21.5
2021-06-30,72.09,$3.63,19.86
2021-03-31,77.23,$3.61,21.39
2020-12-31,76.57,$3.56,21.51
2020-09-30,73.45,$3.53,20.81
2020-06-30,72.71,$3.50,20.77
2020-03-31,67.8,$2.85,23.79
2019-12-31,73.3,$2.81,26.08
2019-09-30,73.17,$2.78,26.32
2019-06-30,64.45,$2.71,23.78
2019-03-31,59.92,$3.37,17.78
2018-12-31,54.51,$3.25,16.77
2018-09-30,51.11,$3.27,15.63
2018-06-30,48.36,$3.18,15.21
2018-03-31,48.18,$3.14,15.34
2017-12-31,51.22,$3.11,16.47
2017-09-30,48.64,$3.08,15.79
2017-06-30,48.48,$3.09,15.69
2017-03-31,46.58,$3.01,15.48
2016-12-31,43.42,$2.96,14.67
2016-09-30,42.24,$2.81,15.03
2016-06-30,46.31,$2.72,17.03
2016-03-31,44.74,$2.73,16.39
2015-12-31,38.85,$2.76,14.08
