Alexander & Baldwin Holdings PE Ratio Historical Data,Alexander & Baldwin Holdings PE Ratio Historical Data,Alexander & Baldwin Holdings PE Ratio Historical Data,Alexander & Baldwin Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,18.57,,33.16
2024-06-30,16.77,$0.56,29.94
2024-03-31,16.07,$0.61,26.34
2023-12-31,18.3,$0.40,45.75
2023-09-30,15.91,$-0.54,0.0
2023-06-30,17.45,$-0.65,0.0
2023-03-31,17.55,$-0.78,0.0
2022-12-31,17.17,$-0.71,0.0
2022-09-30,15.02,$0.36,41.72
2022-06-30,16.06,$0.36,44.61
2022-03-31,20.51,$0.49,41.87
2021-12-31,22.02,$0.49,44.94
2021-09-30,20.42,$0.42,48.63
2021-06-30,15.83,$0.26,60.9
2021-03-31,14.39,$0.01,1438.9
2020-12-31,14.6,$-0.04,0.0
2020-09-30,9.44,$0.02,472.12
2020-06-30,10.27,$-0.60,0.0
2020-03-31,9.45,$-0.54,0.0
2019-12-31,17.46,$-0.51,0.0
2019-09-30,20.25,$-2.48,0.0
2019-06-30,18.93,$-1.59,0.0
2019-03-31,20.7,$-1.55,0.0
2018-12-31,14.86,$-1.01,0.0
2018-09-30,18.35,$4.31,4.26
2018-06-30,19.0,$4.24,4.48
2018-03-31,18.7,$4.30,4.35
2017-12-31,22.43,$3.78,5.93
2017-09-30,22.97,$0.37,62.07
2017-06-30,20.51,$0.21,97.68
2017-03-31,22.07,$0.11,200.64
2016-12-31,22.24,$-0.18,0.0
2016-09-30,19.05,$-0.48,0.0
2016-06-30,17.92,$-0.34,0.0
2016-03-31,18.18,$-0.13,0.0
2015-12-31,17.5,$0.53,33.03
2015-09-30,17.02,$0.96,17.73
2015-06-30,19.53,$1.06,18.43
2015-03-31,21.41,$1.05,20.39
2014-12-31,19.46,$1.22,15.95
2014-09-30,17.83,$1.54,11.58
2014-06-30,20.55,$1.43,14.37
2014-03-31,21.1,$1.35,15.63
2013-12-31,20.69,$0.79,26.19
2013-09-30,17.84,$0.53,33.65
2013-06-30,19.68,$0.74,26.6
2013-03-31,17.7,$0.53,33.4
