Supernus Pharmaceuticals PE Ratio Historical Data,Supernus Pharmaceuticals PE Ratio Historical Data,Supernus Pharmaceuticals PE Ratio Historical Data,Supernus Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,33.84,,376.0
2024-06-30,26.75,$0.09,297.22
2024-03-31,34.11,$-0.29,0.0
2023-12-31,28.94,$-0.00,0.0
2023-09-30,27.57,$0.41,67.24
2023-06-30,30.06,$0.73,41.18
2023-03-31,36.23,$0.89,40.71
2022-12-31,35.67,$1.03,34.63
2022-09-30,33.85,$0.64,52.89
2022-06-30,28.92,$1.01,28.63
2022-03-31,32.32,$1.30,24.86
2021-12-31,29.16,$0.98,29.76
2021-09-30,26.67,$1.51,17.66
2021-06-30,30.79,$1.85,16.64
2021-03-31,26.18,$2.07,12.65
2020-12-31,25.16,$2.36,10.66
2020-09-30,20.84,$2.41,8.65
2020-06-30,23.75,$2.21,10.75
2020-03-31,17.99,$2.17,8.29
2019-12-31,23.72,$2.11,11.24
2019-09-30,27.48,$1.97,13.95
2019-06-30,33.09,$1.95,16.97
2019-03-31,35.04,$1.91,18.35
2018-12-31,33.22,$2.06,16.13
2018-09-30,50.35,$1.84,27.36
2018-06-30,59.85,$1.61,37.17
2018-03-31,45.8,$1.36,33.68
2017-12-31,39.85,$1.06,37.59
2017-09-30,40.0,$1.06,37.74
2017-06-30,43.1,$1.95,22.1
2017-03-31,31.3,$1.81,17.29
2016-12-31,25.25,$1.70,14.85
2016-09-30,24.73,$1.58,15.65
2016-06-30,20.37,$0.48,42.44
2016-03-31,15.25,$0.33,46.21
2015-12-31,13.44,$0.27,49.78
2015-09-30,14.03,$0.23,61.0
2015-06-30,16.98,$0.54,31.44
2015-03-31,12.09,$0.59,20.49
2014-12-31,8.3,$0.19,43.68
2014-09-30,8.69,$-0.56,0.0
2014-06-30,10.95,$-1.73,0.0
2014-03-31,8.94,$-2.70,0.0
2013-12-31,7.54,$-2.92,0.0
2013-09-30,7.33,$-2.78,0.0
2013-06-30,6.43,$-2.55,0.0
2013-03-31,5.62,$-2.27,0.0
