Omega Healthcare Investors PE Ratio Historical Data,Omega Healthcare Investors PE Ratio Historical Data,Omega Healthcare Investors PE Ratio Historical Data,Omega Healthcare Investors PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.74,,31.1
2024-06-30,33.64,$1.31,25.68
2024-03-31,30.44,$1.11,27.43
2023-12-31,28.79,$0.99,29.08
2023-09-30,30.51,$0.96,31.78
2023-06-30,27.65,$1.02,27.11
2023-03-31,24.09,$1.15,20.95
2022-12-31,24.01,$1.79,13.41
2022-09-30,24.81,$1.74,14.26
2022-06-30,23.21,$1.89,12.28
2022-03-31,25.0,$1.87,13.37
2021-12-31,23.17,$1.77,13.09
2021-09-30,22.92,$1.90,12.07
2021-06-30,27.26,$0.92,29.63
2021-03-31,27.04,$0.99,27.32
2020-12-31,26.33,$0.69,38.17
2020-09-30,21.22,$0.69,30.75
2020-06-30,20.64,$1.72,12.0
2020-03-31,18.02,$1.63,11.05
2019-12-31,28.3,$1.58,17.91
2019-09-30,27.5,$1.62,16.98
2019-06-30,23.76,$1.27,18.71
2019-03-31,24.21,$1.32,18.34
2018-12-31,21.94,$1.40,15.67
2018-09-30,20.06,$1.40,14.33
2018-06-30,18.55,$0.45,41.23
2018-03-31,15.78,$0.39,40.46
2017-12-31,15.68,$0.50,31.36
2017-09-30,17.79,$0.82,21.7
2017-06-30,18.04,$1.89,9.54
2017-03-31,17.7,$2.13,8.31
2016-12-31,16.45,$1.89,8.7
2016-09-30,18.29,$1.57,11.65
2016-06-30,17.22,$1.60,10.76
2016-03-31,17.6,$1.25,14.08
2015-12-31,17.13,$1.28,13.39
2015-09-30,16.95,$1.41,12.02
2015-06-30,16.3,$1.46,11.17
2015-03-31,19.17,$1.61,11.91
2014-12-31,18.09,$1.74,10.39
2014-09-30,15.62,$1.68,9.3
2014-06-30,16.61,$1.52,10.93
2014-03-31,14.89,$1.57,9.48
2013-12-31,13.04,$1.46,8.93
2013-09-30,12.88,$1.38,9.33
2013-06-30,13.19,$1.33,9.91
2013-03-31,12.72,$1.20,10.6
2012-12-31,9.83,$1.11,8.85
2012-09-30,9.19,$1.00,9.19
2012-06-30,8.94,$0.94,9.51
2012-03-31,8.28,$0.82,10.1
2011-12-31,7.39,$0.46,16.07
2011-09-30,5.95,$0.30,19.85
2011-06-30,7.7,$0.24,32.07
2011-03-31,8.06,$0.21,38.37
2010-12-31,7.96,$0.53,15.02
2010-09-30,7.84,$0.66,11.88
2010-06-30,6.85,$0.73,9.38
2010-03-31,6.59,$0.80,8.24
2009-12-31,6.47,$0.87,7.44
