Weis Markets PE Ratio Historical Data,Weis Markets PE Ratio Historical Data,Weis Markets PE Ratio Historical Data,Weis Markets PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,66.8,,19.31
2024-06-30,62.49,$3.46,18.06
2024-03-31,63.78,$3.75,17.01
2023-12-31,62.99,$3.85,16.36
2023-09-30,61.73,$4.16,14.84
2023-06-30,62.59,$4.37,14.32
2023-03-31,82.18,$4.45,18.47
2022-12-31,79.55,$4.66,17.07
2022-09-30,68.6,$4.43,15.49
2022-06-30,71.48,$4.42,16.17
2022-03-31,68.22,$4.31,15.83
2021-12-31,62.6,$4.04,15.5
2021-09-30,49.68,$3.93,12.64
2021-06-30,48.55,$4.03,12.05
2021-03-31,52.82,$4.33,12.2
2020-12-31,44.43,$4.42,10.05
2020-09-30,44.31,$4.39,10.09
2020-06-30,45.98,$3.76,12.23
2020-03-31,38.01,$2.98,12.75
2019-12-31,36.64,$2.52,14.54
2019-09-30,34.25,$2.31,14.83
2019-06-30,32.42,$2.31,14.04
2019-03-31,36.34,$2.26,16.08
2018-12-31,42.3,$2.33,18.15
2018-09-30,38.17,$4.21,9.07
2018-06-30,46.65,$3.84,12.15
2018-03-31,35.6,$3.82,9.32
2017-12-31,35.68,$3.66,9.75
2017-09-30,37.22,$2.81,13.25
2017-06-30,41.43,$3.05,13.58
2017-03-31,50.46,$2.93,17.22
2016-12-31,56.26,$3.24,17.37
2016-09-30,44.38,$2.33,19.05
2016-06-30,42.09,$2.41,17.46
2016-03-31,37.27,$2.45,15.21
2015-12-31,36.36,$2.19,16.6
2015-09-30,34.02,$2.09,16.28
2015-06-30,34.11,$2.12,16.09
2015-03-31,40.0,$1.99,20.1
2014-12-31,38.19,$2.05,18.63
2014-09-30,30.96,$2.13,14.54
2014-06-30,36.03,$2.05,17.57
2014-03-31,38.55,$2.47,15.61
2013-12-31,40.88,$2.67,15.31
2013-09-30,37.84,$2.91,13.0
2013-06-30,34.64,$3.12,11.1
2013-03-31,31.06,$3.08,10.08
2012-12-31,29.67,$3.07,9.67
2012-09-30,31.83,$2.96,10.75
2012-06-30,33.26,$2.95,11.27
2012-03-31,32.35,$2.86,11.31
2011-12-31,29.43,$2.81,10.47
2011-09-30,25.77,$2.61,9.87
2011-06-30,28.12,$2.59,10.86
2011-03-31,27.73,$2.58,10.75
2010-12-31,27.44,$2.54,10.81
2010-09-30,26.43,$2.60,10.17
2010-06-30,22.05,$2.57,8.58
2010-03-31,24.17,$2.37,10.2
2009-12-31,23.96,$2.33,10.28
