Interpublic Group Of PE Ratio Historical Data,Interpublic Group Of PE Ratio Historical Data,Interpublic Group Of PE Ratio Historical Data,Interpublic Group Of PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,32.61,,12.08
2024-06-30,29.09,$2.70,10.77
2024-03-31,32.63,$2.81,11.61
2023-12-31,32.3,$2.85,11.33
2023-09-30,28.08,$2.40,11.7
2023-06-30,37.44,$2.41,15.54
2023-03-31,35.85,$2.31,15.52
2022-12-31,31.79,$2.38,13.36
2022-09-30,24.23,$2.52,9.61
2022-06-30,25.78,$2.48,10.4
2022-03-31,32.89,$2.56,12.85
2021-12-31,34.48,$2.39,14.43
2021-09-30,33.49,$1.77,18.92
2021-06-30,29.45,$1.88,15.67
2021-03-31,26.26,$1.10,23.87
2020-12-31,20.94,$0.88,23.79
2020-09-30,14.67,$1.44,10.19
2020-06-30,14.89,$1.15,12.95
2020-03-31,13.84,$1.70,8.14
2019-12-31,19.52,$1.67,11.69
2019-09-30,18.03,$1.67,10.79
2019-06-30,18.67,$1.66,11.24
2019-03-31,17.17,$1.60,10.73
2018-12-31,16.69,$1.58,10.56
2018-09-30,18.34,$1.55,11.83
2018-06-30,18.63,$1.51,12.34
2018-03-31,18.13,$1.38,13.14
2017-12-31,15.73,$1.47,10.7
2017-09-30,16.08,$1.44,11.16
2017-06-30,18.85,$1.39,13.56
2017-03-31,18.7,$1.53,12.22
2016-12-31,17.68,$1.49,11.87
2016-09-30,16.78,$1.34,12.52
2016-06-30,17.23,$1.20,14.36
2016-03-31,17.01,$1.11,15.32
2015-12-31,17.14,$1.10,15.58
2015-09-30,14.01,$1.20,11.67
2015-06-30,14.02,$1.23,11.4
2015-03-31,16.0,$1.17,13.68
2014-12-31,14.95,$1.12,13.34
2014-09-30,13.12,$0.83,15.81
2014-06-30,13.91,$0.73,19.05
2014-03-31,12.16,$0.68,17.88
2013-12-31,12.49,$0.59,21.16
2013-09-30,12.07,$0.83,14.54
2013-06-30,10.17,$0.87,11.69
2013-03-31,9.06,$0.91,9.96
2012-12-31,7.62,$0.95,8.02
2012-09-30,7.65,$0.76,10.06
2012-06-30,7.42,$1.01,7.34
2012-03-31,7.76,$0.98,7.92
2011-12-31,6.58,$0.98,6.71
2011-09-30,4.84,$0.85,5.69
2011-06-30,8.33,$0.53,15.73
2011-03-31,8.34,$0.49,17.01
2010-12-31,7.01,$0.44,15.93
2010-09-30,6.62,$0.32,20.69
2010-06-30,4.71,$0.27,17.43
2010-03-31,5.49,$0.16,34.33
2009-12-31,4.87,$0.15,32.48
