Galapagos PE Ratio Historical Data,Galapagos PE Ratio Historical Data,Galapagos PE Ratio Historical Data,Galapagos PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,30.24,,0.0
2024-06-30,24.78,$-1.41,0.0
2024-03-31,32.2,$-1.72,0.0
2022-12-31,44.38,$-3.43,0.0
2022-09-30,42.64,$-0.20,0.0
2022-06-30,55.8,$-1.70,0.0
2022-03-31,62.02,$-2.57,0.0
2021-12-31,55.13,$-2.18,0.0
2021-09-30,52.61,$-2.18,0.0
2021-06-30,68.89,$-2.47,0.0
2021-03-31,77.09,$-3.24,0.0
2020-12-31,98.98,$-4.27,0.0
2020-09-30,141.91,$-6.60,0.0
2020-06-30,197.29,$1.56,126.47
2020-03-31,195.92,$2.54,77.13
2019-12-31,206.83,$2.39,86.54
2019-09-30,152.66,$5.06,30.17
2019-06-30,128.93,$-1.31,0.0
2019-03-31,117.78,$-0.84,0.0
2018-12-31,91.74,$-0.73,0.0
2018-09-30,112.43,$-1.38,0.0
2018-06-30,92.18,$-0.84,0.0
2018-03-31,99.76,$-2.05,0.0
2017-03-31,86.19,$-1.95,0.0
2016-03-31,41.82,$-2.29,0.0
