C.H Robinson Worldwide PE Ratio Historical Data,C.H Robinson Worldwide PE Ratio Historical Data,C.H Robinson Worldwide PE Ratio Historical Data,C.H Robinson Worldwide PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,103.51,,37.37
2024-06-30,88.12,$2.77,31.81
2024-03-31,75.61,$2.53,29.89
2023-12-31,85.09,$2.71,31.4
2023-09-30,84.21,$3.25,25.91
2023-06-30,91.62,$4.35,21.06
2023-03-31,95.88,$6.21,15.44
2022-12-31,87.82,$7.30,12.03
2022-09-30,91.81,$8.24,11.14
2022-06-30,96.17,$8.31,11.57
2022-03-31,101.66,$7.08,14.36
2021-12-31,101.05,$6.31,16.01
2021-09-30,81.25,$5.65,14.38
2021-06-30,86.99,$4.80,18.12
2021-03-31,88.15,$4.42,19.94
2020-12-31,86.24,$3.71,23.24
2020-09-30,93.37,$3.36,27.79
2020-06-30,71.86,$3.43,20.95
2020-03-31,59.8,$3.59,16.66
2019-12-31,70.1,$4.18,16.77
2019-09-30,75.5,$4.79,15.76
2019-06-30,74.67,$4.97,15.02
2019-03-31,76.53,$4.88,15.68
2018-12-31,73.57,$4.73,15.55
2018-09-30,85.16,$4.47,19.05
2018-06-30,72.42,$4.07,17.79
2018-03-31,80.69,$3.72,21.69
2017-12-31,76.32,$3.57,21.38
2017-09-30,64.85,$3.35,19.36
2017-06-30,58.17,$3.40,17.11
2017-03-31,65.02,$3.62,17.96
2016-12-31,61.29,$3.59,17.07
2016-09-30,58.59,$3.61,16.23
2016-06-30,61.36,$3.67,16.72
2016-03-31,60.99,$3.61,16.9
2015-12-31,50.66,$3.51,14.43
2015-09-30,54.94,$3.40,16.16
2015-06-30,50.33,$3.29,15.3
2015-03-31,58.72,$3.15,18.64
2014-12-31,59.75,$3.05,19.59
2014-09-30,52.64,$2.90,18.15
2014-06-30,50.37,$2.74,18.38
2014-03-31,41.12,$2.64,15.58
2013-12-31,45.49,$3.59,12.67
2013-09-30,46.17,$3.69,12.51
2013-06-30,43.37,$3.71,11.69
2012-12-31,48.09,$3.66,13.14
2012-09-30,44.31,$2.75,16.11
2012-06-30,44.02,$2.67,16.49
2012-03-31,48.98,$2.66,18.41
2011-12-31,51.93,$2.68,19.38
2013-03-31,45.51,$2.60,17.5
2011-09-30,50.7,$2.58,19.65
2011-06-30,58.14,$2.50,23.26
2011-03-31,54.46,$2.42,22.51
2010-12-31,58.68,$2.33,25.18
2010-09-30,50.79,$2.23,22.78
2010-06-30,40.28,$2.18,18.48
2010-03-31,40.24,$2.13,18.89
2009-12-31,42.12,$2.13,19.77
