AdaptHealth PE Ratio Historical Data,AdaptHealth PE Ratio Historical Data,AdaptHealth PE Ratio Historical Data,AdaptHealth PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,10.83,,0.0
2024-06-30,10.0,$-5.12,0.0
2023-12-31,7.29,$-5.31,0.0
2023-09-30,9.1,$-3.42,0.0
2023-06-30,12.17,$-0.01,0.0
2023-03-31,12.43,$0.01,0.0
2022-12-31,19.22,$0.16,120.13
2024-03-31,11.51,$0.26,44.27
2022-09-30,18.78,$0.43,43.67
2022-06-30,18.04,$0.52,34.69
2022-03-31,16.03,$0.55,29.15
2021-12-31,24.46,$0.39,62.72
2021-09-30,23.29,$-0.23,0.0
2021-06-30,27.41,$-0.47,0.0
2021-03-31,36.76,$-0.51,0.0
2020-12-31,37.56,$-0.43,0.0
2020-09-30,21.81,$-0.06,0.0
2020-06-30,16.1,$-0.02,0.0
2020-03-31,16.0,$-0.06,0.0
2019-12-31,10.98,$-0.03,0.0
2019-09-30,10.18,$0.10,101.8
2019-06-30,10.13,$0.13,77.92
2019-03-31,9.99,$0.12,83.25
