Everi Holdings PE Ratio Historical Data,Everi Holdings PE Ratio Historical Data,Everi Holdings PE Ratio Historical Data,Everi Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,13.32,,28.34
2024-06-30,8.4,$0.47,17.87
2024-03-31,10.05,$0.65,15.46
2023-12-31,11.27,$0.90,12.52
2023-09-30,13.22,$1.16,11.4
2023-06-30,14.46,$1.17,12.36
2023-03-31,17.15,$1.21,14.17
2022-12-31,14.35,$1.22,11.76
2022-09-30,16.22,$1.82,8.91
2022-06-30,16.31,$1.59,10.26
2022-03-31,21.0,$1.62,12.96
2021-12-31,21.35,$1.52,14.05
2021-09-30,24.18,$0.65,37.2
2021-06-30,24.94,$0.57,43.75
2021-03-31,14.11,$-0.59,0.0
2020-12-31,13.81,$-0.96,0.0
2020-09-30,8.25,$-1.02,0.0
2020-06-30,5.16,$-0.89,0.0
2020-03-31,3.3,$-0.02,0.0
2019-12-31,13.43,$0.22,61.05
2019-09-30,8.46,$0.33,25.64
2019-06-30,11.93,$0.24,49.71
2019-03-31,10.52,$0.19,55.37
2018-12-31,5.15,$0.17,30.29
2018-09-30,9.17,$-0.26,0.0
2018-06-30,7.2,$-0.35,0.0
2018-03-31,6.57,$-0.66,0.0
2017-12-31,7.54,$-0.77,0.0
2017-09-30,7.59,$-3.69,0.0
2017-06-30,7.28,$-3.75,0.0
2017-03-31,4.79,$-3.62,0.0
2016-12-31,2.17,$-3.77,0.0
2016-09-30,2.47,$-1.79,0.0
2016-06-30,1.15,$-1.76,0.0
