Kinder Morgan PE Ratio Historical Data,Kinder Morgan PE Ratio Historical Data,Kinder Morgan PE Ratio Historical Data,Kinder Morgan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,21.57,,19.61
2024-06-30,19.6,$1.10,17.82
2024-03-31,17.82,$1.10,16.2
2023-12-31,16.86,$1.07,15.76
2023-09-30,15.58,$1.10,14.16
2023-06-30,15.92,$1.11,14.34
2023-03-31,15.93,$1.13,14.09
2022-12-31,16.2,$1.12,14.46
2022-09-30,14.68,$1.10,13.34
2022-06-30,14.56,$1.07,13.61
2022-03-31,16.18,$0.45,35.95
2021-12-31,13.36,$0.78,17.13
2021-09-30,13.87,$0.77,18.01
2021-06-30,14.88,$0.75,19.84
2021-03-31,13.38,$0.81,16.52
2020-12-31,10.79,$0.05,215.72
2020-09-30,9.52,$0.05,190.37
2020-06-30,11.5,$0.07,164.24
2020-03-31,10.36,$0.58,17.87
2019-12-31,15.57,$0.96,16.22
2019-09-30,14.97,$0.90,16.64
2019-06-30,14.99,$0.99,15.14
2019-03-31,14.19,$0.68,20.86
2018-12-31,10.78,$0.66,16.34
2018-09-30,12.29,$-0.02,0.0
2018-06-30,12.11,$-0.18,0.0
2018-03-31,10.19,$0.05,203.83
2017-12-31,12.15,$0.01,1214.52
2017-09-30,12.8,$0.56,22.86
2017-06-30,12.71,$0.31,41.01
2017-03-31,14.34,$0.31,46.25
2016-12-31,13.58,$0.25,54.32
2016-09-30,15.07,$-0.12,0.0
2016-06-30,12.13,$0.06,202.1
2016-03-31,11.49,$0.06,191.46
2015-12-31,9.52,$0.16,59.49
2015-09-30,17.33,$0.53,32.71
2015-06-30,23.71,$0.77,30.79
2015-03-31,25.69,$0.89,28.87
2014-12-31,25.56,$0.95,26.91
2014-09-30,22.9,$1.20,19.08
2014-06-30,21.41,$1.15,18.62
2014-03-31,18.94,$1.15,16.47
2013-12-31,20.74,$1.15,18.03
2013-09-30,20.26,$1.14,17.77
2013-06-30,21.5,$1.04,20.67
2013-03-31,21.59,$0.62,34.82
2012-12-31,19.53,$0.35,55.79
2012-09-30,19.43,$0.23,84.48
2012-06-30,17.45,$0.25,69.81
2012-03-31,20.75,$0.57,36.4
2011-12-31,17.11,$0.68,25.16
