RBC Bearings PE Ratio Historical Data,RBC Bearings PE Ratio Historical Data,RBC Bearings PE Ratio Historical Data,RBC Bearings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,290.2,,42.8
2024-06-30,269.78,$6.78,39.79
2024-03-31,270.35,$6.40,42.24
2023-12-31,284.89,$5.98,47.64
2023-09-30,234.13,$5.64,41.51
2023-06-30,217.47,$5.37,40.5
2023-03-31,232.73,$4.94,47.11
2022-12-31,209.35,$4.37,47.91
2022-09-30,207.81,$3.12,66.61
2022-06-30,184.95,$2.06,89.78
2022-03-31,193.88,$2.00,96.94
2021-12-31,201.97,$2.07,97.57
2021-09-30,212.2,$3.13,67.8
2021-06-30,199.42,$3.70,53.9
2021-03-31,196.77,$3.58,54.96
2020-12-31,179.04,$3.94,45.44
2020-09-30,121.21,$4.30,28.19
2020-06-30,134.04,$4.74,28.28
2020-03-31,112.79,$5.06,22.29
2019-12-31,158.34,$4.98,31.8
2019-09-30,165.91,$4.41,37.62
2019-06-30,166.81,$4.37,38.17
2019-03-31,127.17,$4.26,29.85
2018-12-31,131.1,$4.08,32.13
2018-09-30,150.36,$4.40,34.17
2018-06-30,128.81,$3.79,33.99
2018-03-31,124.2,$3.57,34.79
2017-12-31,126.4,$3.38,37.4
2017-09-30,125.15,$2.95,42.42
2017-06-30,101.76,$3.11,32.72
2017-03-31,97.09,$2.97,32.69
2016-12-31,92.81,$2.88,32.23
2016-09-30,76.48,$3.07,24.91
2016-06-30,72.5,$2.92,24.83
2016-03-31,73.26,$2.80,26.16
2015-12-31,64.59,$2.59,24.94
2015-09-30,59.73,$2.43,24.58
2015-03-31,76.54,$2.50,30.62
2014-12-31,64.53,$2.64,24.44
2014-09-30,56.7,$2.61,21.72
2014-06-30,64.05,$2.59,24.73
2014-03-31,61.63,$2.51,24.55
2015-06-30,71.76,$2.38,30.15
2013-12-31,68.45,$2.27,30.15
2013-09-30,63.75,$2.25,28.33
2013-06-30,50.26,$2.37,21.21
2013-03-31,48.92,$2.48,19.72
2012-12-31,48.44,$2.71,17.87
2012-09-30,46.54,$2.72,17.11
2012-06-30,45.76,$2.51,18.23
2012-03-31,44.63,$2.23,20.01
2011-12-31,40.34,$1.98,20.38
2011-09-30,32.88,$1.77,18.58
2011-06-30,36.53,$1.64,22.28
2011-03-31,36.99,$1.57,23.56
2010-12-31,37.81,$1.57,24.08
2010-09-30,32.87,$1.48,22.21
2010-06-30,28.05,$1.32,21.25
2010-03-31,30.83,$1.21,25.48
2009-12-31,23.54,$0.97,24.27
