VeriSign PE Ratio Historical Data,VeriSign PE Ratio Historical Data,VeriSign PE Ratio Historical Data,VeriSign PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,183.9,,22.35
2024-06-30,177.8,$8.23,21.6
2023-12-31,205.96,$7.92,26.01
2023-09-30,202.53,$7.02,28.85
2023-06-30,225.97,$6.77,33.38
2023-03-31,211.33,$6.52,32.41
2022-12-31,205.44,$6.25,32.87
2022-09-30,173.7,$7.52,23.1
2022-06-30,167.33,$7.34,22.8
2022-03-31,222.46,$7.11,31.29
2021-12-31,253.82,$7.01,36.21
2021-09-30,205.01,$5.42,37.82
2021-06-30,227.69,$5.51,41.32
2021-03-31,198.76,$5.52,36.01
2020-12-31,216.4,$7.05,30.7
2020-09-30,204.85,$6.93,29.56
2020-06-30,206.83,$6.74,30.69
2020-03-31,180.09,$6.66,27.04
2019-12-31,192.68,$5.15,37.41
2019-09-30,188.63,$5.39,35.0
2019-06-30,209.16,$5.22,40.07
2019-03-31,181.56,$5.02,36.17
2018-12-31,148.29,$4.76,31.15
2018-09-30,160.12,$4.09,39.15
2018-06-30,137.42,$3.89,35.33
2018-03-31,118.56,$3.84,30.88
2017-12-31,114.44,$3.69,31.01
2017-09-30,106.39,$3.70,28.75
2017-06-30,92.96,$3.67,25.33
2017-03-31,87.11,$3.55,24.54
2016-12-31,76.07,$3.43,22.18
2016-09-30,78.24,$3.35,23.36
2016-06-30,86.46,$3.15,27.45
2016-03-31,88.54,$2.98,29.71
2015-12-31,87.36,$2.82,30.98
2015-09-30,70.56,$2.54,27.78
2015-06-30,61.72,$2.53,24.4
2015-03-31,66.97,$2.54,26.37
2014-12-31,57.0,$2.52,22.62
2014-09-30,55.12,$3.98,13.85
2014-06-30,48.81,$3.82,12.78
2014-03-31,53.91,$3.66,14.73
2013-12-31,59.78,$3.54,16.89
2013-09-30,50.89,$2.25,22.62
2013-06-30,44.66,$2.19,20.39
2013-03-31,47.27,$2.06,22.95
2012-12-31,38.82,$1.96,19.81
2012-09-30,48.69,$1.65,29.51
2012-06-30,43.57,$1.54,28.29
2012-03-31,38.35,$1.06,36.18
2011-12-31,35.72,$0.88,40.59
2011-09-30,28.61,$0.31,92.29
2011-06-30,33.46,$4.43,7.55
2011-03-31,33.55,$4.68,7.17
2010-12-31,30.27,$4.72,6.41
2010-09-30,27.03,$5.43,4.98
2010-06-30,22.61,$1.23,18.38
2010-03-31,22.16,$1.22,18.16
2009-12-31,20.64,$1.28,16.13
2009-09-30,20.17,$2.72,7.42
