Teekay Tankers PE Ratio Historical Data,Teekay Tankers PE Ratio Historical Data,Teekay Tankers PE Ratio Historical Data,Teekay Tankers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,55.39,,4.31
2024-06-30,68.5,$12.84,5.33
2024-03-31,56.35,$14.14,3.99
2023-12-31,47.99,$14.86,3.23
2023-09-30,39.79,$15.88,2.51
2023-06-30,36.33,$15.51,2.34
2023-03-31,39.56,$11.96,3.31
2022-12-31,28.39,$6.65,4.27
2022-09-30,25.38,$1.23,20.63
2022-06-30,16.25,$-2.29,0.0
2022-03-31,12.75,$-6.95,0.0
2021-12-31,10.05,$-7.17,0.0
2021-09-30,13.39,$-8.17,0.0
2021-06-30,13.29,$-7.95,0.0
2021-03-31,12.81,$-1.23,0.0
2020-12-31,10.15,$2.55,3.98
2020-09-30,9.99,$6.58,1.52
2020-06-30,11.81,$7.34,1.61
2020-03-31,20.5,$4.05,5.06
2019-12-31,22.09,$1.30,16.99
2019-09-30,9.58,$-0.24,0.0
2019-06-30,9.44,$-0.24,0.0
2019-03-31,7.15,$-0.64,0.0
2018-12-31,6.84,$-1.60,0.0
2018-09-30,7.28,$-2.00,0.0
2018-06-30,8.63,$-2.40,0.0
2018-03-31,8.77,$-3.36,0.0
2017-12-31,10.07,$-2.64,0.0
2017-09-30,11.41,$-2.24,0.0
2017-06-30,12.99,$0.72,18.05
2017-03-31,13.95,$5.20,2.68
2016-12-31,15.19,$7.44,2.04
2016-03-31,23.22,$10.16,2.29
2015-12-31,42.42,$10.88,3.9
2015-09-30,42.38,$9.92,4.27
2015-06-30,40.43,$7.92,5.1
2015-03-31,34.94,$7.36,4.75
2014-12-31,30.65,$6.00,5.11
2014-06-30,25.57,$2.88,8.88
2014-03-31,20.93,$1.92,10.9
2013-12-31,23.06,$-0.72,0.0
2013-09-30,15.21,$-0.96,0.0
2013-06-30,15.1,$-33.76,0.0
2013-03-31,16.19,$-34.16,0.0
2016-06-30,19.35,$-34.40,0.0
2012-12-31,16.27,$-35.04,0.0
2012-09-30,20.82,$-0.96,0.0
2012-06-30,24.74,$0.56,44.18
2012-03-31,31.73,$-1.28,0.0
2011-12-31,17.93,$-1.60,0.0
2014-09-30,22.4,$-0.56,0.0
2011-09-30,22.69,$0.24,94.52
2011-06-30,44.96,$2.40,18.73
2011-03-31,48.72,$2.00,24.36
2010-12-31,56.31,$1.44,39.1
2010-09-30,57.89,$1.36,42.57
2016-09-30,16.78,$3.44,4.88
2010-06-30,48.28,$3.28,14.72
2010-03-31,52.76,$8.00,6.6
2009-12-31,34.9,$11.28,3.09
