Shoe Carnival PE Ratio Historical Data,Shoe Carnival PE Ratio Historical Data,Shoe Carnival PE Ratio Historical Data,Shoe Carnival PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,40.28,,14.28
2024-07-31,42.32,$2.82,15.01
2024-04-30,33.2,$2.71,12.25
2024-01-31,25.22,$2.68,9.41
2023-10-31,22.53,$2.90,7.77
2023-07-31,26.07,$3.28,7.95
2023-04-30,22.69,$3.61,6.28
2023-01-31,26.54,$3.96,6.7
2022-10-31,23.22,$3.89,5.97
2022-07-31,21.03,$4.35,4.83
2022-04-30,28.99,$4.85,5.98
2022-01-31,32.7,$5.41,6.04
2021-10-31,32.36,$4.95,6.54
2021-07-31,32.13,$3.83,8.4
2021-04-30,28.53,$2.64,10.81
2021-01-31,22.31,$0.55,40.56
2020-10-31,14.67,$0.41,35.79
2020-07-31,11.6,$0.37,31.78
2020-04-30,11.12,$0.41,27.13
2020-01-31,16.79,$1.45,11.62
2019-10-31,15.51,$1.37,11.32
2019-07-31,11.83,$1.28,9.24
2019-04-30,16.57,$1.26,13.15
2019-01-31,17.09,$1.22,14.01
2018-10-31,18.84,$1.06,17.86
2018-07-31,14.48,$1.01,14.41
2018-04-30,11.22,$0.75,15.06
2018-01-31,10.49,$0.57,18.4
2017-10-31,8.59,$0.67,12.92
2017-07-31,8.33,$0.61,13.77
2017-04-30,11.53,$0.60,19.38
2017-01-31,11.59,$0.64,18.25
2016-10-31,11.47,$0.77,14.99
2016-07-31,11.86,$0.73,16.25
2016-04-30,11.52,$0.74,15.57
2016-01-31,10.4,$0.72,14.44
2015-10-31,10.05,$0.69,14.56
2015-07-31,12.62,$0.73,17.41
2015-04-30,11.62,$0.67,17.34
2015-01-31,10.31,$0.64,16.24
2014-10-31,8.15,$0.58,14.17
2014-07-31,7.86,$0.58,13.67
2014-04-30,10.05,$0.66,15.35
2014-01-31,10.84,$0.67,16.31
2013-10-31,11.38,$0.72,15.92
2013-07-31,11.67,$0.75,15.67
2013-04-30,9.08,$0.67,13.55
2013-01-31,8.9,$0.71,12.62
2012-10-31,9.63,$0.72,13.38
2012-07-31,9.13,$0.68,13.42
2012-04-30,7.97,$0.68,11.78
2012-01-31,6.91,$0.66,10.52
2011-10-31,7.46,$0.69,10.86
2011-07-31,8.64,$0.66,13.09
2011-04-30,8.0,$0.70,11.43
2011-01-31,6.77,$0.69,9.81
2010-10-31,6.26,$0.65,9.68
2010-07-31,5.75,$0.61,9.43
2010-04-30,7.56,$0.53,14.27
2010-01-31,4.99,$0.40,12.48
2009-10-31,4.1,$0.25,16.19
