Corning PE Ratio Historical Data,Corning PE Ratio Historical Data,Corning PE Ratio Historical Data,Corning PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,41.85,,83.7
2024-06-30,38.59,$0.50,77.18
2024-03-31,32.74,$0.71,46.11
2023-12-31,29.99,$0.67,44.76
2023-09-30,29.71,$0.68,43.69
2023-06-30,33.88,$0.73,46.41
2023-03-31,33.81,$1.06,31.89
2022-12-31,30.36,$1.54,19.71
2022-09-30,27.36,$2.14,12.79
2022-06-30,29.48,$2.33,12.65
2022-03-31,34.27,$1.25,27.42
2021-12-31,34.34,$1.24,27.7
2021-09-30,33.45,$0.96,34.84
2021-06-30,37.27,$1.01,36.9
2021-03-31,39.43,$1.30,30.33
2020-12-31,32.42,$0.47,68.97
2020-09-30,29.0,$0.20,145.0
2020-06-30,23.02,$0.10,230.18
2020-03-31,18.08,$0.32,56.5
2019-12-31,25.39,$0.80,31.74
2019-09-30,24.71,$1.46,16.92
2019-06-30,28.58,$1.86,15.37
2018-12-31,25.66,$1.05,24.44
2018-09-30,29.82,$-0.93,0.0
2018-06-30,23.11,$-1.05,0.0
2018-03-31,23.26,$-1.44,0.0
2017-12-31,26.53,$-0.30,0.0
2019-03-31,28.28,$1.43,19.77
2017-09-30,24.69,$2.35,10.51
2017-06-30,24.66,$2.22,11.11
2017-03-31,22.04,$3.67,6.01
2016-12-31,19.71,$3.24,6.08
2016-09-30,19.09,$1.94,9.84
2016-06-30,16.44,$1.83,8.98
2016-03-31,16.65,$0.32,52.04
2015-12-31,14.47,$0.97,14.91
2015-09-30,13.46,$1.50,8.97
2015-06-30,15.4,$2.07,7.44
2015-03-31,17.61,$1.82,9.67
2014-12-31,17.72,$1.73,10.24
2014-09-30,14.87,$1.33,11.18
2014-06-30,16.8,$0.89,18.87
2014-03-31,15.86,$1.21,13.1
2013-12-31,13.5,$1.34,10.08
2013-09-30,10.99,$1.23,8.93
2013-06-30,10.64,$1.29,8.25
2013-03-31,9.91,$1.16,8.54
2012-12-31,9.31,$1.13,8.24
2012-09-30,9.62,$1.25,7.7
2012-06-30,9.4,$1.42,6.62
2012-03-31,10.18,$1.59,6.4
2011-12-31,9.33,$1.76,5.3
2011-09-30,8.84,$2.11,4.19
2011-06-30,12.94,$2.10,6.16
2011-03-31,14.67,$2.21,6.64
2010-12-31,13.71,$2.26,6.07
2010-09-30,12.94,$2.07,6.25
2010-06-30,11.39,$1.98,5.75
2010-03-31,14.22,$1.79,7.94
2009-12-31,13.55,$1.28,10.58
