Orix Corp Ads PE Ratio Historical Data,Orix Corp Ads PE Ratio Historical Data,Orix Corp Ads PE Ratio Historical Data,Orix Corp Ads PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,110.42,,10.3
2024-06-30,111.3,$10.72,10.38
2024-03-31,110.2,$10.27,10.73
2023-12-31,93.39,$8.55,10.92
2023-09-30,93.88,$8.59,10.93
2023-06-30,89.82,$8.48,10.59
2023-03-31,80.83,$8.52,9.49
2022-12-31,77.83,$10.15,7.67
2022-09-30,68.31,$9.83,6.95
2022-06-30,79.62,$11.06,7.2
2022-03-31,94.46,$11.51,8.21
2021-12-31,94.88,$9.83,9.65
2021-09-30,88.11,$9.32,9.45
2021-06-30,77.78,$7.91,9.83
2021-03-31,77.9,$7.32,10.64
2020-12-31,69.48,$7.51,9.25
2020-09-30,56.22,$8.71,6.45
2020-06-30,53.97,$10.33,5.22
2020-03-31,51.78,$8.72,5.94
2019-12-31,70.94,$6.90,10.28
2019-09-30,63.92,$6.64,9.63
2019-06-30,62.38,$3.63,17.18
2019-03-31,59.87,$6.24,9.59
2018-12-31,57.9,$6.24,9.28
2018-09-30,65.57,$3.70,17.72
2018-06-30,63.94,$3.63,17.61
2017-12-31,67.25,$1.03,65.3
2017-09-30,64.21,$0.96,66.88
2017-03-31,58.1,$0.96,60.52
2016-12-31,59.78,$0.92,64.98
2016-09-30,56.96,$0.83,68.63
2016-06-30,48.43,$0.84,57.65
2016-03-31,54.1,$0.83,65.18
2015-12-31,52.45,$0.68,77.13
2015-09-30,48.48,$0.66,73.46
2015-06-30,54.88,$0.68,80.7
2015-03-31,51.8,$0.68,76.18
2014-12-31,46.05,$0.68,67.72
2014-09-30,50.81,$0.67,75.84
2014-06-30,61.15,$0.54,113.25
2014-03-31,51.9,$0.46,112.82
2013-12-31,65.62,$0.46,142.64
2013-09-30,60.25,$1.78,33.85
2013-06-30,50.32,$2.88,17.47
2013-03-31,46.82,$4.43,10.57
2012-12-31,41.32,$4.43,9.33
2012-09-30,36.56,$4.14,8.83
2012-06-30,33.96,$4.20,8.09
2012-03-31,35.2,$3.80,9.26
2011-12-31,29.6,$3.80,7.79
2011-09-30,27.95,$3.43,8.15
2011-06-30,35.24,$2.94,11.99
2011-03-31,33.61,$2.34,14.36
2010-12-31,34.78,$2.34,14.86
2010-09-30,27.44,$1.85,14.83
2010-06-30,25.76,$1.61,16.0
2010-03-31,31.53,$1.24,25.43
2009-12-31,24.22,$1.24,19.53
