Commerce Bancshares PE Ratio Historical Data,Commerce Bancshares PE Ratio Historical Data,Commerce Bancshares PE Ratio Historical Data,Commerce Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,61.11,,22.06
2024-09-30,59.4,$2.77,21.44
2024-06-30,55.54,$3.68,15.07
2024-03-31,52.71,$3.59,14.7
2023-12-31,52.65,$3.63,14.5
2023-09-30,47.04,$3.78,12.44
2023-06-30,47.48,$3.79,12.52
2023-03-31,56.59,$3.69,15.33
2022-12-31,65.74,$3.67,17.93
2022-09-30,60.63,$3.53,17.18
2022-06-30,59.93,$3.51,17.07
2022-03-31,65.1,$3.83,16.99
2021-12-31,62.27,$3.91,15.92
2021-09-30,59.87,$4.02,14.91
2021-06-30,63.83,$4.02,15.87
2021-03-31,65.36,$3.11,21.01
2020-12-31,55.87,$2.51,22.22
2020-09-30,47.66,$2.32,20.54
2020-06-30,50.13,$2.17,23.05
2020-03-31,42.26,$2.65,15.97
2019-12-31,56.77,$2.95,19.24
2019-09-30,50.47,$2.94,17.18
2019-06-30,49.43,$2.94,16.82
2019-03-31,47.89,$2.94,16.29
2018-12-31,46.3,$2.96,15.64
2018-09-30,54.22,$2.85,19.02
2018-06-30,52.97,$2.59,20.48
2018-03-31,48.87,$2.37,20.66
2017-12-31,45.37,$2.16,20.98
2017-09-30,44.53,$2.00,22.22
2017-06-30,43.62,$1.96,22.26
2017-03-31,42.93,$1.90,22.58
2016-12-31,44.02,$1.86,23.7
2016-09-30,35.57,$1.80,19.76
2016-06-30,34.44,$1.77,19.5
2016-03-31,32.17,$1.78,18.12
2015-12-31,30.29,$1.73,17.52
2015-09-30,30.74,$1.70,18.06
2015-06-30,31.4,$1.72,18.27
2015-03-31,28.27,$1.66,16.98
2014-12-31,28.89,$1.68,17.17
2014-09-30,28.1,$1.71,16.47
2014-06-30,29.13,$1.70,17.1
2014-03-31,28.93,$1.69,17.07
2013-12-31,27.85,$1.67,16.63
2013-09-30,25.87,$1.67,15.47
2013-06-30,25.58,$1.65,15.49
2013-03-31,23.86,$1.70,14.05
2012-12-31,20.37,$1.72,11.85
2012-09-30,22.31,$1.68,13.27
2012-06-30,20.85,$1.69,12.36
2012-03-31,22.15,$1.64,13.52
2011-12-31,20.72,$1.60,12.95
2011-09-30,17.99,$1.59,11.33
2011-06-30,22.12,$1.50,14.72
2011-03-31,20.69,$1.45,14.28
2010-12-31,20.21,$1.35,15.01
2010-09-30,18.21,$1.28,14.24
2010-06-30,17.33,$1.26,13.76
2010-03-31,19.67,$1.12,17.5
2009-12-31,18.41,$1.05,17.6
