Cheesecake Factory PE Ratio Historical Data,Cheesecake Factory PE Ratio Historical Data,Cheesecake Factory PE Ratio Historical Data,Cheesecake Factory PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,42.12,,17.62
2024-06-30,38.99,$2.39,16.31
2024-03-31,35.62,$2.18,16.34
2023-12-31,34.24,$2.06,16.62
2023-09-30,29.39,$1.73,16.99
2023-06-30,33.28,$1.31,25.4
2023-03-31,33.46,$0.94,35.59
2022-12-31,30.05,$0.83,36.2
2022-09-30,27.54,$0.94,29.3
2022-06-30,24.63,$1.63,15.11
2022-03-31,36.8,$1.50,24.54
2021-12-31,36.21,$1.02,35.5
2021-09-30,43.47,$0.13,334.41
2021-06-30,50.11,$-1.27,0.0
2021-03-31,54.12,$-3.25,0.0
2020-12-31,34.28,$-3.31,0.0
2020-09-30,25.66,$-1.36,0.0
2020-06-30,21.2,$-0.24,0.0
2020-03-31,15.8,$2.16,7.31
2019-12-31,35.54,$2.85,12.47
2019-09-30,37.8,$2.10,18.0
2019-06-30,39.29,$2.35,16.72
2019-03-31,43.66,$2.17,20.12
2018-12-31,38.56,$2.13,18.1
2018-09-30,47.14,$3.02,15.61
2018-06-30,48.16,$2.97,16.22
2018-03-31,41.95,$3.14,13.36
2017-12-31,41.66,$3.29,12.66
2017-09-30,36.19,$2.71,13.35
2017-06-30,42.94,$2.85,15.07
2017-03-31,53.87,$2.85,18.9
2016-12-31,50.71,$2.82,17.98
2016-09-30,42.2,$2.70,15.63
2016-06-30,40.39,$2.52,16.03
2016-03-31,44.38,$2.43,18.26
2015-12-31,38.39,$2.31,16.62
2015-09-30,44.74,$2.25,19.88
2015-06-30,45.06,$2.21,20.39
2015-03-31,40.62,$2.11,19.25
2014-12-31,41.29,$1.98,20.85
2014-09-30,37.21,$2.12,17.55
2014-06-30,37.82,$2.14,17.67
2014-03-31,38.68,$2.07,18.69
2013-12-31,39.09,$2.11,18.52
2013-09-30,35.48,$1.89,18.77
2013-06-30,33.71,$1.88,17.93
2013-03-31,30.98,$1.88,16.48
2012-12-31,26.16,$1.78,14.69
2012-09-30,28.49,$1.92,14.84
2012-06-30,25.37,$1.79,14.18
2012-03-31,23.33,$1.69,13.81
2011-12-31,23.3,$1.66,14.04
2011-09-30,19.57,$1.48,13.22
2011-06-30,24.91,$1.49,16.72
2011-03-31,23.89,$1.39,17.19
2010-12-31,24.34,$1.36,17.9
2010-09-30,21.02,$1.00,21.02
2010-06-30,17.67,$0.90,19.64
2010-03-31,21.48,$0.86,24.98
2009-12-31,17.14,$0.72,23.81
