Applied Therapeutics PE Ratio Historical Data,Applied Therapeutics PE Ratio Historical Data,Applied Therapeutics PE Ratio Historical Data,Applied Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.63,,0.0
2024-06-30,4.67,$-1.60,0.0
2024-03-31,6.8,$-1.84,0.0
2023-12-31,3.35,$-1.35,0.0
2023-09-30,2.49,$-1.18,0.0
2023-06-30,1.28,$-1.11,0.0
2023-03-31,0.81,$-1.70,0.0
2022-12-31,0.76,$-2.40,0.0
2022-09-30,0.93,$-3.28,0.0
2022-06-30,0.95,$-3.97,0.0
2022-03-31,2.11,$-4.00,0.0
2021-12-31,8.95,$-4.12,0.0
2021-09-30,16.6,$-4.14,0.0
2021-06-30,20.78,$-4.38,0.0
2021-03-31,18.76,$-4.66,0.0
2020-12-31,22.01,$-4.25,0.0
2020-09-30,20.76,$-4.76,0.0
2020-06-30,36.15,$-4.06,0.0
2020-03-31,32.69,$-3.39,0.0
