Payoneer Global PE Ratio Historical Data,Payoneer Global PE Ratio Historical Data,Payoneer Global PE Ratio Historical Data,Payoneer Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,8.22,,30.44
2024-06-30,5.54,$0.27,20.52
2024-03-31,4.86,$0.30,16.2
2023-12-31,5.21,$0.24,21.71
2023-09-30,6.12,$0.14,43.71
2023-06-30,4.81,$0.03,160.33
2023-03-31,6.28,$-0.08,0.0
2022-12-31,5.47,$-0.04,0.0
2022-09-30,6.05,$-0.07,0.0
2022-06-30,3.92,$0.01,392.0
2022-03-31,4.46,$-0.63,0.0
