Sprout Social PE Ratio Historical Data,Sprout Social PE Ratio Historical Data,Sprout Social PE Ratio Historical Data,Sprout Social PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,28.3,,0.0
2024-06-30,35.68,$-1.31,0.0
2024-03-31,59.71,$-1.25,0.0
2023-12-31,61.44,$-1.20,0.0
2023-09-30,49.88,$-1.06,0.0
2023-06-30,46.16,$-0.90,0.0
2023-03-31,60.88,$-0.93,0.0
2022-12-31,56.46,$-0.92,0.0
2022-09-30,60.68,$-0.88,0.0
2022-06-30,58.07,$-0.76,0.0
2022-03-31,80.12,$-0.59,0.0
2021-12-31,90.69,$-0.53,0.0
2021-09-30,121.95,$-0.46,0.0
2021-06-30,89.42,$-0.46,0.0
2021-03-31,57.76,$-0.52,0.0
2020-12-31,45.41,$-0.61,0.0
2020-09-30,38.5,$-1.61,0.0
