WEC Energy PE Ratio Historical Data,WEC Energy PE Ratio Historical Data,WEC Energy PE Ratio Historical Data,WEC Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,93.03,,21.48
2024-06-30,77.74,$4.33,17.95
2024-03-31,80.57,$4.58,17.59
2023-12-31,81.69,$4.22,19.36
2023-09-30,77.41,$4.33,17.88
2023-06-30,84.05,$4.29,19.59
2023-03-31,89.54,$4.28,20.92
2022-12-31,87.84,$4.46,19.69
2022-09-30,83.14,$4.37,19.02
2022-06-30,92.91,$4.33,21.46
2022-03-31,91.48,$4.29,21.32
2021-12-31,88.27,$4.11,21.48
2021-09-30,79.61,$4.16,19.14
2021-06-30,79.72,$4.08,19.54
2021-03-31,83.29,$3.97,20.98
2020-12-31,81.24,$3.79,21.44
2020-09-30,85.02,$3.80,22.37
2020-06-30,76.38,$3.70,20.64
2020-03-31,76.22,$3.68,20.71
2019-12-31,79.28,$3.58,22.14
2019-09-30,81.2,$3.46,23.47
2019-06-30,70.72,$3.46,20.44
2019-03-31,66.59,$3.45,19.3
2018-12-31,57.86,$3.35,17.27
2018-09-30,55.33,$4.06,13.63
2018-06-30,53.15,$4.00,13.29
2018-03-31,51.09,$3.90,13.1
2017-12-31,53.64,$3.79,14.15
2017-09-30,50.31,$3.04,16.55
2017-06-30,48.8,$3.04,16.05
2017-03-31,47.79,$2.98,16.04
2016-12-31,45.82,$2.95,15.53
2016-09-30,46.37,$2.91,15.93
2016-06-30,50.17,$2.81,17.85
2016-03-31,45.77,$2.59,17.67
2015-12-31,38.76,$2.36,16.42
2015-09-30,39.08,$2.32,16.85
2015-06-30,33.5,$2.30,14.57
2015-03-31,36.39,$2.53,14.38
2014-12-31,38.46,$2.58,14.91
2014-09-30,31.1,$2.68,11.61
2014-06-30,33.63,$2.72,12.36
2014-03-31,33.08,$2.66,12.44
2013-12-31,29.11,$2.51,11.6
2013-09-30,28.17,$2.31,12.2
2013-06-30,28.35,$2.38,11.91
2013-03-31,29.43,$2.37,12.42
2012-12-31,25.07,$2.35,10.67
2012-09-30,25.42,$2.42,10.5
2012-06-30,26.5,$2.30,11.52
2012-03-31,23.37,$2.25,10.39
2011-12-31,23.02,$2.23,10.32
2011-09-30,20.44,$2.26,9.04
2011-06-30,20.29,$2.19,9.29
2011-03-31,19.58,$2.10,9.32
2010-12-31,18.73,$1.93,9.7
2010-09-30,18.27,$1.90,9.61
2010-06-30,15.92,$1.68,9.5
2010-03-31,15.38,$1.57,9.8
2009-12-31,15.39,$1.62,9.5
