Itron PE Ratio Historical Data,Itron PE Ratio Historical Data,Itron PE Ratio Historical Data,Itron PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,105.0,,25.93
2024-06-30,98.96,$4.05,24.43
2024-03-31,92.52,$3.48,26.59
2023-12-31,75.51,$2.10,35.96
2023-09-30,60.58,$1.63,37.17
2023-06-30,72.1,$0.85,84.82
2023-03-31,55.45,$-0.50,0.0
2022-12-31,50.65,$-0.22,0.0
2022-09-30,42.11,$-2.01,0.0
2022-06-30,49.43,$-2.14,0.0
2022-03-31,52.68,$-2.05,0.0
2021-12-31,68.52,$-1.77,0.0
2021-09-30,75.63,$0.06,1260.5
2021-06-30,99.98,$-0.53,0.0
2021-03-31,88.65,$-1.36,0.0
2020-12-31,95.9,$-1.45,0.0
2020-09-30,60.74,$-1.62,0.0
2020-06-30,66.25,$-0.57,0.0
2020-03-31,55.83,$1.48,37.72
2019-12-31,83.95,$1.22,68.81
2019-09-30,73.96,$1.46,50.66
2019-06-30,62.57,$1.54,40.63
2019-03-31,46.65,$1.12,41.65
2018-12-31,47.29,$-2.57,0.0
2018-09-30,64.2,$-3.12,0.0
2018-06-30,60.05,$-2.97,0.0
2018-03-31,71.55,$-2.68,0.0
2017-12-31,68.2,$1.46,46.71
2017-09-30,77.45,$1.71,45.29
2017-06-30,67.75,$0.80,84.69
2017-03-31,60.7,$0.96,63.23
2016-12-31,62.85,$0.79,79.56
2016-09-30,55.76,$0.82,68.0
2016-06-30,43.1,$0.71,60.7
2015-12-31,36.18,$0.32,113.06
2015-09-30,31.91,$-1.16,0.0
2015-06-30,34.44,$-1.23,0.0
2015-03-31,36.51,$-0.67,0.0
2014-12-31,42.29,$-0.31,0.0
2016-03-31,41.72,$0.93,44.86
2014-09-30,39.31,$-3.26,0.0
2014-06-30,40.55,$-3.64,0.0
2014-03-31,35.54,$-3.82,0.0
2013-12-31,41.43,$-3.75,0.0
2013-09-30,42.83,$0.58,73.84
2013-06-30,42.43,$1.66,25.56
2013-03-31,46.4,$2.14,21.68
2012-12-31,44.55,$2.71,16.44
2012-09-30,43.13,$0.96,44.93
2012-06-30,41.24,$-12.63,0.0
2012-03-31,45.41,$-12.58,0.0
2011-12-31,35.77,$-12.55,0.0
2011-09-30,29.5,$-10.55,0.0
2011-06-30,48.16,$2.86,16.84
2011-03-31,56.44,$2.67,21.14
2010-12-31,55.45,$2.67,20.77
2010-09-30,61.23,$2.15,28.48
2010-06-30,61.82,$1.37,45.12
2010-03-31,72.57,$1.12,64.79
2009-12-31,67.57,$-0.09,0.0
