Brookfield Infrastructure Partners LP PE Ratio Historical Data,Brookfield Infrastructure Partners LP PE Ratio Historical Data,Brookfield Infrastructure Partners LP PE Ratio Historical Data,Brookfield Infrastructure Partners LP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,36.42,,0.0
2024-06-30,27.1,$-0.17,0.0
2024-03-31,30.4,$0.31,98.05
2023-12-31,30.23,$0.14,215.9
2023-09-30,27.81,$0.31,89.7
2023-06-30,34.11,$0.33,103.38
2023-03-31,31.23,$0.08,390.36
2022-12-31,28.33,$0.14,207.28
2022-09-30,32.51,$0.26,125.03
2022-06-30,34.32,$0.69,49.73
2022-03-31,39.29,$0.97,40.64
2021-12-31,35.75,$1.16,30.82
2021-09-30,32.69,$1.45,22.49
2021-06-30,32.08,$0.89,35.9
2021-03-31,30.46,$0.35,87.86
2020-12-31,27.98,$0.25,110.43
2020-09-30,26.72,$-0.18,0.0
2020-06-30,22.82,$-0.05,0.0
2020-03-31,19.73,$0.17,118.34
2019-12-31,24.24,$0.05,519.12
2019-09-30,23.83,$0.13,178.63
2019-06-30,20.41,$0.02,1020.39
2019-03-31,19.66,$0.08,245.78
2018-12-31,16.01,$0.39,40.72
2018-09-30,18.5,$0.41,44.75
2018-06-30,17.6,$0.45,38.83
2018-03-31,18.85,$0.27,68.98
2017-12-31,20.05,$-0.03,0.0
2017-09-30,19.12,$0.18,106.21
2017-06-30,17.95,$0.31,57.27
2017-03-31,16.78,$0.62,27.27
2016-12-31,14.36,$0.75,19.23
2016-09-30,14.68,$0.48,30.31
2016-06-30,12.64,$0.63,20.17
2016-03-31,11.61,$0.49,23.74
2015-06-30,11.8,$0.51,23.29
2015-03-31,11.89,$0.51,23.48
2014-12-31,10.81,$0.30,35.78
2014-09-30,9.7,$0.20,49.61
2014-06-30,10.53,$-0.36,0.0
2014-03-31,9.84,$-0.31,0.0
2015-12-31,10.28,$-0.09,0.0
2013-12-31,9.66,$-0.18,0.0
2013-09-30,9.26,$0.35,26.71
2013-06-30,8.78,$0.45,19.56
2013-03-31,9.05,$0.12,75.39
2012-12-31,8.29,$0.22,38.06
2012-09-30,8.27,$0.25,33.22
2012-06-30,7.72,$0.27,28.97
2012-03-31,7.19,$0.40,17.77
2011-12-31,6.22,$0.51,12.17
2011-09-30,5.39,$0.58,9.26
2011-06-30,5.48,$1.96,2.8
2011-03-31,4.74,$1.43,3.31
2015-09-30,9.85,$1.59,6.19
2010-12-31,4.43,$1.38,3.2
2010-09-30,4.03,$-0.21,0.0
2010-06-30,3.25,$0.19,17.38
2010-03-31,3.47,$0.71,4.91
2009-12-31,3.26,$0.61,5.35
