Stericycle PE Ratio Historical Data,Stericycle PE Ratio Historical Data,Stericycle PE Ratio Historical Data,Stericycle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-10-17,60.89,,160.24
2024-06-30,58.13,$0.38,152.97
2024-03-31,52.75,$-0.22,0.0
2023-12-31,49.56,$-0.24,0.0
2023-09-30,44.71,$-0.05,0.0
2023-06-30,46.44,$0.23,201.91
2023-03-31,43.61,$0.62,70.34
2022-12-31,49.89,$0.31,160.94
2022-09-30,42.11,$-0.76,0.0
2022-03-31,58.92,$-0.74,0.0
2021-12-31,59.64,$-0.31,0.0
2021-09-30,67.97,$0.41,165.78
2021-06-30,71.55,$0.91,78.63
2021-03-31,67.51,$-1.82,0.0
2020-12-31,69.33,$-2.75,0.0
2020-03-31,48.58,$-3.61,0.0
2019-12-31,63.81,$-3.81,0.0
2019-09-30,50.93,$-4.91,0.0
2019-06-30,47.75,$-4.31,0.0
2019-03-31,54.42,$-3.78,0.0
2018-12-31,36.69,$-3.05,0.0
2020-06-30,55.98,$0.71,78.85
2018-09-30,58.68,$1.73,33.92
2018-06-30,65.29,$1.94,33.65
2018-03-31,58.53,$-0.11,0.0
2017-12-31,67.99,$0.26,261.5
2017-09-30,71.62,$-0.57,0.0
2017-06-30,76.32,$-0.26,0.0
2017-03-31,82.89,$1.91,43.4
2016-12-31,77.04,$2.09,36.86
2016-09-30,80.14,$2.42,33.12
2016-06-30,104.12,$2.40,43.38
2015-12-31,120.6,$2.84,42.46
2015-09-30,139.25,$3.00,46.42
2015-06-30,133.91,$3.31,40.46
2015-03-31,140.43,$3.57,39.34
2014-12-31,131.08,$3.65,35.91
2016-03-31,126.19,$3.60,35.05
2014-09-30,116.56,$3.72,31.33
2014-06-30,118.42,$3.68,32.18
2014-03-31,113.62,$3.62,31.39
2013-12-31,116.17,$3.56,32.63
2013-09-30,115.4,$3.46,33.35
2013-06-30,110.43,$3.29,33.57
2013-03-31,106.18,$3.18,33.39
2012-12-31,93.28,$3.08,30.29
2012-09-30,90.48,$3.02,29.96
2012-06-30,91.67,$2.95,31.07
2012-03-31,83.64,$2.80,29.87
2011-12-31,77.92,$2.69,28.97
2011-09-30,80.72,$2.52,32.03
2011-06-30,89.12,$2.49,35.79
2011-03-31,88.67,$2.47,35.9
2010-12-31,80.92,$2.39,33.86
2010-09-30,69.48,$2.34,29.69
2010-06-30,65.58,$2.23,29.41
2010-03-31,54.5,$2.13,25.59
2009-12-31,55.17,$2.04,27.04
2009-09-30,48.44,$1.63,29.72
2009-06-30,51.53,$0.20,257.65
