Newmont PE Ratio Historical Data,Newmont PE Ratio Historical Data,Newmont PE Ratio Historical Data,Newmont PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-08-30,53.39,,0.0
2024-06-30,41.87,$-2.12,0.0
2024-03-31,35.84,$-2.67,0.0
2023-12-31,41.08,$-2.38,0.0
2023-09-30,36.32,$-1.03,0.0
2023-06-30,41.5,$-0.96,0.0
2023-03-31,47.22,$-0.66,0.0
2022-12-31,45.04,$-0.54,0.0
2022-09-30,39.64,$1.26,31.46
2022-06-30,55.56,$0.99,56.12
2022-03-31,73.38,$1.31,56.01
2021-12-31,56.87,$1.45,39.22
2021-09-30,49.31,$2.53,19.49
2021-06-30,57.01,$3.57,15.97
2021-03-31,53.8,$3.19,16.87
2020-12-31,52.94,$3.51,15.08
2020-09-30,55.71,$3.18,17.52
2020-06-30,54.01,$4.79,11.28
2020-03-31,39.43,$4.33,9.11
2019-12-31,37.74,$3.47,10.88
2019-09-30,32.82,$2.78,11.8
2019-06-30,33.17,$-0.14,0.0
2019-03-31,29.96,$0.43,69.68
2018-12-31,28.9,$0.63,45.88
2018-09-30,25.08,$-0.35,0.0
2018-06-30,31.17,$0.30,103.92
2018-03-31,32.18,$0.09,357.58
2017-12-31,30.79,$-0.18,0.0
2017-09-30,30.72,$0.15,204.79
2017-06-30,26.47,$-0.90,0.0
2017-03-31,26.9,$-1.19,0.0
2016-12-31,27.77,$-1.18,0.0
2016-09-30,31.97,$-1.03,0.0
2016-06-30,31.81,$0.06,530.21
2016-03-31,21.6,$0.16,135.0
2015-12-31,14.6,$0.43,33.96
2015-09-30,13.03,$0.96,13.57
2015-06-30,18.91,$0.97,19.5
2015-03-31,17.56,$1.19,14.75
2014-12-31,15.27,$1.02,14.97
2014-09-30,18.6,$-1.34,0.0
2014-06-30,20.5,$-0.95,0.0
2014-03-31,18.87,$-5.37,0.0
2013-12-31,18.43,$-4.94,0.0
2013-09-30,22.29,$-1.25,0.0
2013-06-30,23.57,$-1.33,0.0
2013-03-31,32.64,$3.29,9.92
2012-12-31,35.79,$3.63,9.86
2012-09-30,42.84,$0.22,194.7
2012-06-30,36.84,$0.46,80.08
2012-03-31,38.66,$0.68,56.86
2011-12-31,44.97,$0.74,60.76
2011-09-30,46.92,$4.40,10.66
2011-06-30,40.04,$4.49,8.92
2011-03-31,40.34,$4.48,9.01
2010-12-31,45.28,$4.56,9.93
2010-09-30,46.18,$4.08,11.32
2010-06-30,45.28,$3.80,11.92
2010-03-31,37.29,$3.36,11.1
2009-12-31,34.57,$2.65,13.05
